"","min_2","max_other","target_score"
"PDCD1","3.93","5.97","-2.04"
"CTLA4","4.22","5.76","-1.54"
"---","","",""
"CSF1","4.55","4","0.55"
"UBASH3B","3.27","2.86","0.41"
"ADAT2","2.04","1.65","0.39"
"SIT1","4.27","4.1","0.17"
"HIST1H2AJ","2.31","2.19","0.12"
"LEMD1","0.21","0.1","0.11"
"CCND2","6.39","6.28","0.109999999999999"
"ASXL1","3.29","3.2","0.0899999999999999"
"SLBP","3.52","3.43","0.0899999999999999"
"MCL1","6.23","6.16","0.0700000000000003"
"STMN4","0.07","0","0.07"
"NCAPG","2.03","1.96","0.0699999999999998"
"IL32","7.49","7.43","0.0600000000000005"
"HIST1H2AM","2.98","2.92","0.06"
"GRK7","0.06","0","0.06"
"PARP4","3.74","3.69","0.0500000000000003"
"RAC2","1.76","1.71","0.05"
