"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","CAF","Endothelial","Macrophage M1","Macrophage M2","Macrophage other","NK","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"29","SGPP2","SGPP2","1.38","1.12","0.26","21","0.38","0.20","0.84","0.00","0.01","0.00","0.00","0.00","0.06","0.20","0.36","0.13","0.00","0.08","1.38","0.04","1.12","0.48","0.00","0.67","1.57"
"30","SIRPG","SIRPG","5.87","5.57","0.3","18","1.39","1.46","0.77","1.07","0.42","0.66","0.84","0.11","2.21","4.34","4.66","4.83","0.00","4.56","6.02","4.35","5.57","5.04","4.63","4.86","5.87"
"31","SOD1","SOD1","6.16","5.94","0.22","30","5.40","4.95","4.96","4.94","5.68","5.35","4.74","5.13","4.56","4.46","5.72","5.37","5.60","4.74","6.16","5.15","5.78","5.70","5.94","5.86","6.82"
"32","SYT11","SYT11","2.81","2.62","0.19","33","1.49","0.70","0.37","0.34","1.22","1.87","1.13","1.48","1.06","2.21","0.62","2.28","2.36","2.25","3.07","1.21","2.62","1.99","2.32","2.29","2.81"
"33","TIGIT","TIGIT","6.01","5.76","0.25","24","1.70","1.00","0.35","0.44","0.28","0.72","1.05","0.09","1.86","4.51","2.69","4.41","4.46","4.92","6.05","0.00","5.76","3.98","3.29","4.55","6.01"
"34","TNFRSF1B","TNFRSF1B","5.37","4.95","0.42","13","2.69","2.41","2.92","2.76","1.19","3.11","3.47","4.33","4.55","3.45","1.89","3.88","4.10","4.41","5.37","3.57","4.61","4.95","4.56","3.93","5.86"
"35","TNFRSF9","TNFRSF9","3.47","2.77","0.7","4","1.14","1.21","1.15","0.87","0.74","1.08","1.08","0.42","1.10","2.65","1.38","2.21","1.53","2.77","4.41","0.98","1.51","1.57","1.50","1.50","3.47"
"36","TNIP3","TNIP3","2.92","1.97","0.95","1","0.34","0.37","0.44","0.47","0.23","0.28","0.38","0.08","1.30","1.33","0.31","1.13","0.45","1.97","2.92","0.24","1.84","1.40","0.08","0.95","2.94"
"37","TP73","TP73","0.77","0.38","0.39","15","0.38","0.03","0.00","0.22","0.08","0.07","0.06","0.00","0.08","0.19","0.00","0.20","0.00","0.05","0.88","0.00","0.00","0.34","0.20","0.24","0.77"
"38","TRIM69","TRIM69","2.21","1.7","0.51","7","0.26","0.17","0.45","0.00","0.18","0.98","0.14","0.28","0.23","0.07","0.00","1.08","0.00","1.06","2.24","0.11","0.23","1.70","0.27","0.75","2.21"
"39","UBE2V1","UBE2V1","4.51","4.26","0.25","23","4.13","3.68","3.25","3.31","3.87","3.48","3.55","3.05","3.25","4.13","2.93","4.19","4.26","4.09","4.58","4.03","3.85","4.20","4.06","4.08","4.51"
"40","ZBED2","ZBED2","4.01","3.07","0.94","2","2.02","0.36","0.59","2.15","0.10","0.00","0.08","0.16","0.82","0.95","0.85","1.70","0.72","2.38","4.01","2.02","2.05","3.07","1.00","1.45","4.18"
"41","ZDHHC12","ZDHHC12","3.5","3.32","0.18","36","3.07","2.70","1.89","0.49","2.04","3.18","3.32","3.13","3.17","3.05","2.75","3.21","3.11","2.60","3.50","2.14","2.85","2.87","2.71","3.29","3.95"
