"","min_2","max_other","target_score","gene","rank"
"IFI44L",4.86,4.72,0.140000000000001,"IFI44L",115
"OGDH",1.86,1.72,0.14,"OGDH",116
"SMARCAD1",1.71,1.57,0.14,"SMARCAD1",117
"PARK7",6.04,5.9,0.14,"PARK7",118
"SIT1",4.92,4.78,0.14,"SIT1",119
"CARD17",0.48,0.35,0.13,"CARD17",120
"TMEM222",2.29,2.16,0.13,"TMEM222",121
"ARID4B",4.56,4.43,0.13,"ARID4B",122
"CYFIP2",3.35,3.22,0.13,"CYFIP2",123
"SNRPC",4.31,4.18,0.13,"SNRPC",124
"SSNA1",4.17,4.04,0.13,"SSNA1",125
"ANP32A",3.98,3.85,0.13,"ANP32A",126
"GDE1",2.62,2.49,0.13,"GDE1",127
"KPNB1",4.01,3.88,0.13,"KPNB1",128
"GSS",2.31,2.18,0.13,"GSS",129
"HLA.A",9.61,9.48,0.129999999999999,"HLA.A",130
"HLA.B",9.61,9.48,0.129999999999999,"HLA.B",131
"PSMA5",4.38,4.26,0.12,"PSMA5",132
"TYW5",2.06,1.94,0.12,"TYW5",133
"PSMD6",3.27,3.15,0.12,"PSMD6",134
"HNRNPA2B1",6.25,6.13,0.12,"HNRNPA2B1",135
"KDM6A",1.53,1.41,0.12,"KDM6A",136
"ENTPD1",4.34,4.22,0.12,"ENTPD1",137
"TM2D3",3.49,3.37,0.12,"TM2D3",138
"TRAF2",2.28,2.16,0.12,"TRAF2",139
"APBB1IP",3.78,3.66,0.12,"APBB1IP",140
"RDH11",2.78,2.66,0.12,"RDH11",141
"SNRPA1",3.28,3.16,0.12,"SNRPA1",142
"G3BP2",4.29,4.18,0.11,"G3BP2",143
"PPID",2.7,2.59,0.11,"PPID",144
"HSPA8",6.87,6.76,0.11,"HSPA8",145
"TTBK1",0.23,0.12,0.11,"TTBK1",146
"TMPRSS3",0.83,0.72,0.11,"TMPRSS3",147
"DR1",3.34,3.23,0.11,"DR1",148
"SLBP",3.73,3.62,0.11,"SLBP",149
"MB21D1",2.56,2.45,0.11,"MB21D1",150
"HK1",3.03,2.92,0.11,"HK1",151
"SOD1",6.14,6.03,0.109999999999999,"SOD1",152
"HSPE1",6.23,6.13,0.100000000000001,"HSPE1",153
"LSM8",4.61,4.51,0.100000000000001,"LSM8",154
"BTN2A1",2.48,2.38,0.1,"BTN2A1",155
"CSTF2",1.3,1.2,0.1,"CSTF2",156
"STAMBPL1",2.43,2.33,0.1,"STAMBPL1",157
"ZNF267",2.66,2.56,0.1,"ZNF267",158
"TDRKH",0.61,0.51,0.1,"TDRKH",159
"TAX1BP1",4.83,4.73,0.0999999999999996,"TAX1BP1",160
"PAFAH1B3",2.82,2.72,0.0999999999999996,"PAFAH1B3",161
"METTL5",3.24,3.15,0.0900000000000003,"METTL5",162
"PSMF1",3.68,3.59,0.0900000000000003,"PSMF1",163
"RNASEH2A",2.1,2.01,0.0900000000000003,"RNASEH2A",164
"SCYL3",1.55,1.46,0.0900000000000001,"SCYL3",165
"THUMPD2",1.84,1.75,0.0900000000000001,"THUMPD2",166
"FASTKD3",1.36,1.27,0.0900000000000001,"FASTKD3",167
"HNRNPLL",3.23,3.14,0.0899999999999999,"HNRNPLL",168
"GEM",1.95,1.86,0.0899999999999999,"GEM",169
"ZC3H18",2.57,2.48,0.0899999999999999,"ZC3H18",170
"STAU1",3.65,3.56,0.0899999999999999,"STAU1",171
"DGCR14",1.64,1.55,0.0899999999999999,"DGCR14",172
"PMF1",4.19,4.11,0.0800000000000001,"PMF1",173
"GIGYF2",2.35,2.27,0.0800000000000001,"GIGYF2",174
"ZBED2",2.37,2.29,0.0800000000000001,"ZBED2",175
"UBE2K",3.27,3.19,0.0800000000000001,"UBE2K",176
"UBE2D3",5.68,5.6,0.0800000000000001,"UBE2D3",177
"POLD3",1.49,1.41,0.0800000000000001,"POLD3",178
"CLEC2D",5.53,5.45,0.0800000000000001,"CLEC2D",179
"CTDSPL2",2.13,2.05,0.0800000000000001,"CTDSPL2",180
"PSME3",2.11,2.03,0.0800000000000001,"PSME3",181
"MSI2",3.23,3.15,0.0800000000000001,"MSI2",182
"SYCP2",0.78,0.7,0.0800000000000001,"SYCP2",183
"NIPAL4",0.3,0.22,0.08,"NIPAL4",184
"NUF2",0.75,0.67,0.08,"NUF2",185
"PITPNM2",0.82,0.74,0.08,"PITPNM2",186
"TRIM37",1.41,1.33,0.0799999999999998,"TRIM37",187
"HSPBP1",1.94,1.86,0.0799999999999998,"HSPBP1",188
"TRNAU1AP",2.74,2.67,0.0700000000000003,"TRNAU1AP",189
"RNF34",2.99,2.92,0.0700000000000003,"RNF34",190
"WARS2",1.27,1.2,0.0700000000000001,"WARS2",191
"CENPL",1.32,1.25,0.0700000000000001,"CENPL",192
"SLC41A1",1.53,1.46,0.0700000000000001,"SLC41A1",193
"BARD1",2,1.93,0.0700000000000001,"BARD1",194
"TMEM110",1.12,1.05,0.0700000000000001,"TMEM110",195
"SP4",1.72,1.65,0.0700000000000001,"SP4",196
"WDR7",0.94,0.87,0.07,"WDR7",197
"FUBP1",3.26,3.19,0.0699999999999998,"FUBP1",198
"RTP4",2.05,1.98,0.0699999999999998,"RTP4",199
"NXT2",1.39,1.32,0.0699999999999998,"NXT2",200
"SART1",2.5,2.43,0.0699999999999998,"SART1",201
"ZC3H13",3.52,3.45,0.0699999999999998,"ZC3H13",202
"PAPOLA",4.56,4.49,0.0699999999999994,"PAPOLA",203
"SNX6",4.07,4.01,0.0600000000000005,"SNX6",204
"MUL1",1.52,1.46,0.0600000000000001,"MUL1",205
"PARP10",2.62,2.56,0.0600000000000001,"PARP10",206
"RAB35",2.37,2.31,0.0600000000000001,"RAB35",207
"SRP54",3.17,3.11,0.0600000000000001,"SRP54",208
"COMMD7",3.85,3.79,0.0600000000000001,"COMMD7",209
"CCT4",4.09,4.03,0.0599999999999996,"CCT4",210
"STAMBP",2.8,2.74,0.0599999999999996,"STAMBP",211
"XRCC6",4.34,4.28,0.0599999999999996,"XRCC6",212
"PPP2CA",3.85,3.8,0.0500000000000003,"PPP2CA",213
"KIAA1468",1.33,1.28,0.05,"KIAA1468",214
"FXYD2",0.97,0.92,0.0499999999999999,"FXYD2",215
"SERBP1",5.06,5.01,0.0499999999999998,"SERBP1",216
"EIF2AK2",3.92,3.87,0.0499999999999998,"EIF2AK2",217
"HNRNPA3",4.55,4.5,0.0499999999999998,"HNRNPA3",218
"MBNL1",4.53,4.48,0.0499999999999998,"MBNL1",219
"MAT2B",3.52,3.47,0.0499999999999998,"MAT2B",220
"RPS26",6.93,6.88,0.0499999999999998,"RPS26",221
"PIN1",4.22,4.17,0.0499999999999998,"PIN1",222
"CC2D1A",2.03,1.98,0.0499999999999998,"CC2D1A",223
"CCT8",4.17,4.12,0.0499999999999998,"CCT8",224
"IL32",8.14,8.1,0.0400000000000009,"IL32",225
"KIFAP3",1.85,1.81,0.04,"KIFAP3",226
"DNMT3A",2.06,2.02,0.04,"DNMT3A",227
"PNO1",2.17,2.13,0.04,"PNO1",228
"SPATS2L",3.35,3.31,0.04,"SPATS2L",229
"UBE2D2",5.09,5.05,0.04,"UBE2D2",230
"ORC3",1.96,1.92,0.04,"ORC3",231
"LUC7L2",3.43,3.39,0.04,"LUC7L2",232
"FBXW2",2.6,2.56,0.04,"FBXW2",233
"FERMT3",4.09,4.05,0.04,"FERMT3",234
"KDM2A",2.63,2.59,0.04,"KDM2A",235
"NECAP1",2.4,2.36,0.04,"NECAP1",236
"PPP2R5E",2.63,2.59,0.04,"PPP2R5E",237
"ATP6V1E1",4,3.96,0.04,"ATP6V1E1",238
"GNB1L",1.61,1.57,0.04,"GNB1L",239
"NANOS1",0.23,0.19,0.04,"NANOS1",240
"KIF4B",0.04,0,0.04,"KIF4B",241
"NUDC",4.12,4.09,0.0300000000000002,"NUDC",242
"GPBP1L1",2.85,2.82,0.0300000000000002,"GPBP1L1",243
"TOR1AIP2",2.54,2.51,0.0300000000000002,"TOR1AIP2",244
"MRPS10",2.83,2.8,0.0300000000000002,"MRPS10",245
"KMT2E",5,4.97,0.0300000000000002,"KMT2E",246
"CELF1",3.62,3.59,0.0300000000000002,"CELF1",247
"LCMT1",2.66,2.63,0.0300000000000002,"LCMT1",248
"CDKAL1",1.58,1.55,0.03,"CDKAL1",249
"ORC5",1.52,1.49,0.03,"ORC5",250
"HCFC2",1.47,1.44,0.03,"HCFC2",251
"L3MBTL2",1.86,1.83,0.03,"L3MBTL2",252
"GPR158",0.03,0,0.03,"GPR158",253
"ZNF510",0.84,0.81,0.0299999999999999,"ZNF510",254
"VDAC3",3.78,3.75,0.0299999999999998,"VDAC3",255
"IMPA1",2.26,2.23,0.0299999999999998,"IMPA1",256
"BRMS1",3.23,3.2,0.0299999999999998,"BRMS1",257
"COA4",3.19,3.16,0.0299999999999998,"COA4",258
"PRKCQ",2.03,2,0.0299999999999998,"PRKCQ",259
"GTF2A2",3.84,3.81,0.0299999999999998,"GTF2A2",260
"SRSF3",5.39,5.36,0.0299999999999994,"SRSF3",261
"FAM96B",4.77,4.74,0.0299999999999994,"FAM96B",262
"COX6C",5.79,5.77,0.0200000000000005,"COX6C",263
"IKBKE",1.97,1.95,0.02,"IKBKE",264
"CAPN2",3.87,3.85,0.02,"CAPN2",265
"TAMM41",1.42,1.4,0.02,"TAMM41",266
"ACTR8",1.58,1.56,0.02,"ACTR8",267
"BAZ1B",2.47,2.45,0.02,"BAZ1B",268
"PSMC2",3.58,3.56,0.02,"PSMC2",269
"CWC15",3.89,3.87,0.02,"CWC15",270
"SUGT1",3.12,3.1,0.02,"SUGT1",271
"TRAF3",1.9,1.88,0.02,"TRAF3",272
"FBRS",1.75,1.73,0.02,"FBRS",273
"RBP2",0.02,0,0.02,"RBP2",274
"MKRN3",0.02,0,0.02,"MKRN3",275
"C20orf141",0.02,0,0.02,"C20orf141",276
"DDX24",5.52,5.5,0.0199999999999996,"DDX24",277
"TRA2B",4.53,4.52,0.0100000000000007,"TRA2B",278
"PRPS1",2.95,2.94,0.0100000000000002,"PRPS1",279
