"","min_2","max_other","target_score","gene","rank"
"PIGBOS1",1.83,1.82,0.01,"PIGBOS1",107
"ATPIF1",4.76,4.75,0.00999999999999979,"ATPIF1",108
"PMM1",2.36,2.35,0.00999999999999979,"PMM1",109
"SCAND1",3.94,3.93,0.00999999999999979,"SCAND1",110
"AGT",0,0,0,"AGT",111
"APCDD1L",0,0,0,"APCDD1L",112
"CGREF1",0,0,0,"CGREF1",113
"EVA1A",0,0,0,"EVA1A",114
"GCC2",3.58,3.58,0,"GCC2",115
"GPC6",0,0,0,"GPC6",116
"IGFN1",0,0,0,"IGFN1",117
"KCNIP3",0,0,0,"KCNIP3",118
"KIF15",0.47,0.47,0,"KIF15",119
"MRPL3",3.09,3.09,0,"MRPL3",120
"PTPN7",4.78,4.78,0,"PTPN7",121
"SENP7",3.09,3.09,0,"SENP7",122
"SP6",0,0,0,"SP6",123
"SRP14",5.91,5.91,0,"SRP14",124
"TBX5",0,0,0,"TBX5",125
"TIPRL",3.23,3.23,0,"TIPRL",126
"TMEM50A",4.62,4.62,0,"TMEM50A",127
"TMEM59L",0,0,0,"TMEM59L",128
"TOP2A",1.81,1.81,0,"TOP2A",129
"TOX3",0,0,0,"TOX3",130
"UFD1L",3.13,3.13,0,"UFD1L",131
"ZNF197",1.6,1.6,0,"ZNF197",132
"HNRNPD",5.21,5.22,-0.00999999999999979,"HNRNPD",133
"CYP39A1",0,0.01,-0.01,"CYP39A1",134
"ETV4",0,0.01,-0.01,"ETV4",135
"LINC01207",0,0.01,-0.01,"LINC01207",136
"PYGO1",0,0.01,-0.01,"PYGO1",137
"SRRM3",0,0.01,-0.01,"SRRM3",138
"DMGDH",0.25,0.26,-0.01,"DMGDH",139
"EXOC8",1.77,1.78,-0.01,"EXOC8",140
"KIF18B",0.52,0.53,-0.01,"KIF18B",141
"EMC7",3.73,3.74,-0.0100000000000002,"EMC7",142
"WDR76",1.62,1.64,-0.0199999999999998,"WDR76",143
"CASC10",0,0.02,-0.02,"CASC10",144
"GBP6",0,0.02,-0.02,"GBP6",145
"NKAIN1",0,0.02,-0.02,"NKAIN1",146
"PSMA5",4.01,4.03,-0.0200000000000005,"PSMA5",147
"SZRD1",4.17,4.19,-0.0200000000000005,"SZRD1",148
"B2M",10.98,11.01,-0.0299999999999994,"B2M",149
"AGFG2",2.33,2.36,-0.0299999999999998,"AGFG2",150
"AKAP8L",2.68,2.71,-0.0299999999999998,"AKAP8L",151
"PYURF",3.83,3.86,-0.0299999999999998,"PYURF",152
"RPA1",3.62,3.65,-0.0299999999999998,"RPA1",153
"ARL9",0,0.03,-0.03,"ARL9",154
"AVPR1A",0,0.03,-0.03,"AVPR1A",155
"COLCA2",0,0.03,-0.03,"COLCA2",156
"FAM180A",0,0.03,-0.03,"FAM180A",157
"HOXC13",0,0.03,-0.03,"HOXC13",158
"HOXC5",0,0.03,-0.03,"HOXC5",159
"HSPB2",0,0.03,-0.03,"HSPB2",160
"JAKMIP3",0,0.03,-0.03,"JAKMIP3",161
"KRBOX1",0,0.03,-0.03,"KRBOX1",162
"PQLC2L",0,0.03,-0.03,"PQLC2L",163
"PKMYT1",0.42,0.45,-0.03,"PKMYT1",164
"AASDHPPT",2.4,2.43,-0.0300000000000002,"AASDHPPT",165
"GTF2E2",2.76,2.79,-0.0300000000000002,"GTF2E2",166
"PSMB1",4.7,4.73,-0.0300000000000002,"PSMB1",167
"SRSF9",4.39,4.42,-0.0300000000000002,"SRSF9",168
"PPT2",1.12,1.16,-0.0399999999999998,"PPT2",169
"ADCY5",0,0.04,-0.04,"ADCY5",170
"ADCYAP1R1",0,0.04,-0.04,"ADCYAP1R1",171
"ART5",0,0.04,-0.04,"ART5",172
"BCHE",0,0.04,-0.04,"BCHE",173
"GJB1",0,0.04,-0.04,"GJB1",174
"LAMA1",0,0.04,-0.04,"LAMA1",175
"PCDHB10",0,0.04,-0.04,"PCDHB10",176
"PCDHB15",0,0.04,-0.04,"PCDHB15",177
"RSPO3",0,0.04,-0.04,"RSPO3",178
"TENM3",0,0.04,-0.04,"TENM3",179
"ADSS",3.32,3.36,-0.04,"ADSS",180
"ARHGDIB",7.69,7.73,-0.04,"ARHGDIB",181
"EZH2",1.67,1.71,-0.04,"EZH2",182
"GBP5",4.84,4.88,-0.04,"GBP5",183
"IL2RG",6.45,6.49,-0.04,"IL2RG",184
"MAP4K1",4,4.04,-0.04,"MAP4K1",185
"N6AMT1",1.04,1.08,-0.04,"N6AMT1",186
"PARN",2.2,2.24,-0.04,"PARN",187
"RALY",4.59,4.63,-0.04,"RALY",188
"RPUSD2",1.47,1.51,-0.04,"RPUSD2",189
"SFI1",3.06,3.1,-0.04,"SFI1",190
"SPC25",0.47,0.51,-0.04,"SPC25",191
"UGP2",4.2,4.24,-0.04,"UGP2",192
"VWA8",1.89,1.93,-0.04,"VWA8",193
"BBC3",2.85,2.9,-0.0499999999999998,"BBC3",194
"CHCHD4",1.62,1.67,-0.0499999999999998,"CHCHD4",195
"PSMB7",3.62,3.67,-0.0499999999999998,"PSMB7",196
