"","gene","score_avg","rank_avg"
"9267","MAPK9",-1.146,8010.2
"9268","MAPKAP1",-1.091,8167.2
"9269","MAPKAPK2",-0.767,6678.9
"9270","MAPKAPK3",-0.907,7128.2
"9271","MAPKAPK5",-0.87,7237.8
"9272","MAPKBP1",-0.685,6175.6
"9273","MAPRE1",-0.764,6910.5
"9274","MAPRE2",-1.106,9060.3
"9275","MAPRE3",-1.543,10199.4
"9276","MAPT",-0.884444444444444,5463.88888888889
"9277","MARC1",-1.25222222222222,9618.88888888889
"9278","MARC2",-2.09777777777778,13482.3333333333
"9279","MARCH1",-4.487,15597.7
"9280","MARCH10",-0.362857142857143,4165.14285714286
"9281","MARCH11",-1.31333333333333,6420
"9282","MARCH2",-1.397,10947
"9283","MARCH3",-2.141,13488.1
"9284","MARCH4",-0.0983333333333333,1632.83333333333
"9285","MARCH5",-0.671111111111111,5873
"9286","MARCH6",-0.843,7444.9
"9287","MARCH7",-0.581,5398.8
"9288","MARCH8",-1.369,11008
"9289","MARCH9",-1.238,10506.5
"9290","MARCKS",-4.918,15691.1
"9291","MARCKSL1",-4.791,15514.4
"9292","MARCO",-4.198,15432.4
"9293","MARK1",-0.387777777777778,3939.11111111111
"9294","MARK2",-0.728,6606.8
"9295","MARK3",-0.669,6305.2
"9296","MARK4",-0.825,6677.5
"9297","MARS",-1.255,9881.6
"9298","MARS2",-0.922222222222222,7803.44444444444
"9299","MARVELD1",-1.697,11564.5
"9300","MARVELD2",-1.10222222222222,8732.33333333333
"9301","MARVELD3",-0.673,6149.8
"9302","MAS1",-0.808333333333333,5262.5
"9303","MAS1L",-0.938,8159.2
"9304","MASP1",-0.41125,4269.375
"9305","MASP2",-0.465714285714286,4979.42857142857
"9306","MAST1",-0.335,3780.75
"9307","MAST2",-1.151,9235.1
"9308","MAST3",-1.415,10571.6
"9309","MAST4",-1.194,9467.8
"9310","MASTL",-0.987,7795.4
"9311","MAT1A",-0.801428571428571,6452.57142857143
"9312","MAT2A",-1.254,9394.4
"9313","MAT2B",-0.398,3456.8
"9314","MATK",-3.666,15216.1
"9315","MATN1",-0.9575,7432
"9316","MATN2",-2.60111111111111,12837.5555555556
"9317","MATN3",-0.32125,2943.875
"9318","MATN4",-0.35,3385.71428571429
"9319","MATR3",-0.811,5918.3
"9320","MAU2",-0.697,6008.6
"9321","MAVS",-0.68,6125.88888888889
"9322","MAX",-0.696,6496.3
"9323","MAZ",-1.192,9070.9
"9324","MB",-0.406666666666667,3878.33333333333
"9325","MB21D1",-0.866666666666667,7227.88888888889
"9326","MB21D2",-1.507,10962.5
"9327","MBD1",-0.775,7153.6
"9328","MBD2",-0.986,8289.5
"9329","MBD3",-0.966,8635
"9330","MBD3L1",-0.0225,690.75
"9331","MBD3L2",-0.85,10665
"9332","MBD3L3",-0.233333333333333,3400
"9333","MBD3L4",-0.05,938.5
"9334","MBD3L5",-0.03,561
"9335","MBD4",-1.719,12368.7
"9336","MBD5",-1.035,8693.5
"9337","MBD6",-0.875,6912.9
"9338","MBIP",-0.973,7192.9
"9339","MBL2",-0.475,4393.5
"9340","MBLAC1",-0.603333333333333,5839
"9341","MBLAC2",-0.809,7073.9
"9342","MBNL1",-0.496,4685.9
"9343","MBNL2",-1.899,12935.7
"9344","MBNL3",-1.784,12192.7
"9345","MBOAT1",-0.982,7987
"9346","MBOAT2",-1.988,12589.5
"9347","MBOAT4",-1.1725,7828.375
"9348","MBOAT7",-2.433,13611.6
"9349","MBP",-2.063,13219.1
"9350","MBTD1",-1.252,9466.8
"9351","MBTPS1",-1.108,9247
"9352","MBTPS2",-1.235,9904.7
"9353","MC1R",-0.787,6936.9
"9354","MC2R",-0.5625,5739.5
"9355","MC3R",-0.22,2694.66666666667
"9356","MC4R",-0.358571428571429,3899
"9357","MC5R",-0.366666666666667,4072
"9358","MCAM",-2.424,12438
"9359","MCAT",-0.928888888888889,7799.55555555556
"9360","MCC",-1.115,8780.1
"9361","MCCC1",-1.01,7509.88888888889
"9362","MCCC2",-0.694444444444444,6409.22222222222
"9363","MCCD1",-0.133333333333333,1811.83333333333
"9364","MCEE",-2.07444444444444,12762.5555555556
"9365","MCEMP1",-4.04142857142857,15100.1428571429
"9366","MCF2",-0.6625,5483.125
"9367","MCF2L",-1.434,9216.2
"9368","MCF2L2",-1.22,9569.2
"9369","MCFD2",-1.49,11740.2
"9370","MCHR1",-0.271666666666667,3232
"9371","MCHR2",-0.178,2460
"9372","MCIDAS",-0.01,179
"9373","MCL1",-1.18,8774.8
"9374","MCM10",-0.775,6686.1
"9375","MCM2",-1.015,8375.4
"9376","MCM3",-0.699,6182.2
"9377","MCM3AP",-0.857,7094.1
"9378","MCM4",-0.932,7765.3
"9379","MCM5",-1.281,10278.8
"9380","MCM6",-0.983,7222.4
"9381","MCM7",-1.36,10532
"9382","MCM8",-0.748,6545.5
"9383","MCM9",-0.838,6910.1
"9384","MCMBP",-1.045,7362.5
"9385","MCMDC2",-0.5675,5371.75
"9386","MCOLN1",-2.114,12862.7
"9387","MCOLN2",-2.519,13985.5
"9388","MCOLN3",-0.84,7097.1
"9389","MCPH1",-0.968,7716.6
"9390","MCRS1",-0.581,5475.4
"9391","MCTP1",-3.253,14763.6
"9392","MCTP2",-3.302,15115.7
"9393","MCTS1",-1.32,9879.5
"9394","MCU",-1.17444444444444,9737.88888888889
"9395","MCUR1",-1.28714285714286,10011.7142857143
"9396","MDC1",-1.137,8982.5
"9397","MDFI",-0.8425,7387.125
"9398","MDFIC",-0.694,5496.1
"9399","MDGA1",-0.845,7259.3
"9400","MDGA2",-0.296666666666667,3679.16666666667
"9401","MDH1",-0.37,3395.44444444444
"9402","MDH1B",-0.5,4207.5
"9403","MDH2",-0.551111111111111,4490.55555555556
"9404","MDK",-2.945,14723
"9405","MDM1",-1.277,9848.7
"9406","MDM2",-0.924,7736.9
"9407","MDM4",-1.172,9773.1
"9408","MDN1",-1.238,8796.4
"9409","MDP1",-1.555,10401.9
"9410","MDS2",-1.518,11351.2
"9411","ME1",-1.45555555555556,10936.8888888889
"9412","ME2",-1.33888888888889,9036.33333333333
"9413","ME3",-1.45222222222222,9926.22222222222
"9414","MEA1",-0.602,5150.3
"9415","MEAF6",-0.737,4732.4
"9416","MECOM",-1.899,10912.9
"9417","MECP2",-1.303,9679.1
"9418","MECR",-0.952222222222222,8100.88888888889
"9419","MED1",-0.826,5842.5
"9420","MED10",-0.828,7402.8
"9421","MED11",-1.139,8865.4
"9422","MED12",-1.161,8523.1
"9423","MED12L",-0.879,7501.2
"9424","MED13",-0.791,7126.4
"9425","MED13L",-1.659,11806.1
"9426","MED14",-0.982,8265
"9427","MED15",-0.74,6665.9
"9428","MED16",-1.174,9548.5
"9429","MED17",-0.692,6623.2
"9430","MED18",-1.234,9517.3
"9431","MED19",-1.285,9501
"9432","MED20",-0.961,7780.5
"9433","MED21",-0.77,7030.2
"9434","MED22",-1.144,9374.2
"9435","MED23",-0.705,6629.3
"9436","MED24",-0.741,5778.1
"9437","MED25",-0.962,8284.2
"9438","MED26",-0.944,8217.5
"9439","MED27",-0.634,5659.9
"9440","MED28",-0.552,5301.9
"9441","MED29",-1.059,8072
"9442","MED30",-0.977,8451.8
"9443","MED31",-1.021,8336.4
"9444","MED4",-0.665,5952.4
"9445","MED6",-0.829,7014.9
"9446","MED7",-1.026,7531
"9447","MED8",-1.018,7923.1
"9448","MED9",-0.848,7226.9
"9449","MEDAG",-0.851111111111111,7006.66666666667
