"","min_2","max_other","target_score","gene","rank"
"NR5A1",0,0,0,"NR5A1",127
"PAEP",0,0,0,"PAEP",128
"LCN9",0,0,0,"LCN9",129
"LCNL1",0.01,0.01,0,"LCNL1",130
"KRTAP5.3",0,0,0,"KRTAP5.3",131
"C11orf40",0,0,0,"C11orf40",132
"OR51A4",0,0,0,"OR51A4",133
"OR52A5",0,0,0,"OR52A5",134
"OR51B6",0,0,0,"OR51B6",135
"OR51I2",0,0,0,"OR51I2",136
"RASSF10",0,0,0,"RASSF10",137
"KCNA4",0,0,0,"KCNA4",138
"ELF5",0,0,0,"ELF5",139
"ACCSL",0,0,0,"ACCSL",140
"OR4B1",0,0,0,"OR4B1",141
"OR4C3",0,0,0,"OR4C3",142
"OR8J3",0,0,0,"OR8J3",143
"OR8K5",0,0,0,"OR8K5",144
"OR5T2",0,0,0,"OR5T2",145
"OR9G1",0,0,0,"OR9G1",146
"PRG3",0,0,0,"PRG3",147
"OR1S2",0,0,0,"OR1S2",148
"OR4D11",0,0,0,"OR4D11",149
"MS4A5",0,0,0,"MS4A5",150
"SCGB1D1",0,0,0,"SCGB1D1",151
"CLDN25",0,0,0,"CLDN25",152
"OR6M1",0,0,0,"OR6M1",153
"OR6T1",0,0,0,"OR6T1",154
"SPATA19",0,0,0,"SPATA19",155
"NEBL",0.02,0.02,0,"NEBL",156
"EBLN1",0,0,0,"EBLN1",157
"GJD4",0,0,0,"GJD4",158
"EMX2",0,0,0,"EMX2",159
"KRT5",0,0,0,"KRT5",160
"KRT77",0,0,0,"KRT77",161
"NEUROD4",0,0,0,"NEUROD4",162
"OR6C3",0,0,0,"OR6C3",163
"OR6C2",0,0,0,"OR6C2",164
"HTR2A",0,0,0,"HTR2A",165
"SLITRK1",0,0,0,"SLITRK1",166
"SLC10A2",0,0,0,"SLC10A2",167
"SYNDIG1L",0,0,0,"SYNDIG1L",168
"MAGEL2",0,0,0,"MAGEL2",169
"CPLX3",0,0,0,"CPLX3",170
"UBE2Q2L",0.14,0.14,0,"UBE2Q2L",171
"ST8SIA2",0,0,0,"ST8SIA2",172
"FAM169B",0,0,0,"FAM169B",173
"SOX8",0,0,0,"SOX8",174
"CLEC3A",0,0,0,"CLEC3A",175
"FOXL1",0,0,0,"FOXL1",176
"OR1E1",0,0,0,"OR1E1",177
"YBX2",0,0,0,"YBX2",178
"C17orf74",0,0,0,"C17orf74",179
"GPR179",0,0,0,"GPR179",180
"KRT27",0,0,0,"KRT27",181
"KRTAP3.2",0,0,0,"KRTAP3.2",182
"KRTAP29.1",0,0,0,"KRTAP29.1",183
"KRT38",0,0,0,"KRT38",184
"HOXB9",0,0,0,"HOXB9",185
"PRAC1",0,0,0,"PRAC1",186
"PRAC2",0,0,0,"PRAC2",187
"GIP",0,0,0,"GIP",188
"EPN3",0,0,0,"EPN3",189
"MYADML2",0,0,0,"MYADML2",190
"TEX19",0,0,0,"TEX19",191
"ST8SIA5",0.01,0.01,0,"ST8SIA5",192
"SKOR2",0,0,0,"SKOR2",193
"DEFB128",0,0,0,"DEFB128",194
"NKX2.2",0,0,0,"NKX2.2",195
"SYNDIG1",0,0,0,"SYNDIG1",196
"SEMG1",0,0,0,"SEMG1",197
"ANKRD60",0,0,0,"ANKRD60",198
"ACTL9",0,0,0,"ACTL9",199
"MBD3L1",0,0,0,"MBD3L1",200
"OR7E24",0,0,0,"OR7E24",201
"OR7C2",0,0,0,"OR7C2",202
"OR1I1",0,0,0,"OR1I1",203
"OR10H2",0,0,0,"OR10H2",204
"OR10H5",0,0,0,"OR10H5",205
"HAPLN4",0,0,0,"HAPLN4",206
"CLC",0,0,0,"CLC",207
"PSG3",0,0,0,"PSG3",208
"CD177",0.02,0.02,0,"CD177",209
"PGLYRP1",0,0,0,"PGLYRP1",210
"LLNLF.187D8.1",0,0,0,"LLNLF.187D8.1",211
"SBK3",0,0,0,"SBK3",212
"GSC2",0,0,0,"GSC2",213
"APOL5",0,0,0,"APOL5",214
"KCNJ4",0,0,0,"KCNJ4",215
"KRTAP19.4",0,0,0,"KRTAP19.4",216
"KRTAP8.1",0,0,0,"KRTAP8.1",217
"KRTAP11.1",0,0,0,"KRTAP11.1",218
"LYPLA2",4.25,4.26,-0.00999999999999979,"LYPLA2",219
"SRRM1",3.74,3.75,-0.00999999999999979,"SRRM1",220
"KIAA1257",0.1,0.11,-0.01,"KIAA1257",221
"HES3",0,0.01,-0.01,"HES3",222
"PRAMEF17",0,0.01,-0.01,"PRAMEF17",223
"PRAMEF20",0,0.01,-0.01,"PRAMEF20",224
"MFAP2",0,0.01,-0.01,"MFAP2",225
"ZBTB8B",0,0.01,-0.01,"ZBTB8B",226
"A3GALT2",0,0.01,-0.01,"A3GALT2",227
"HMGB4",0,0.01,-0.01,"HMGB4",228
"RP11.322N21.2",0,0.01,-0.01,"RP11.322N21.2",229
"TMEM61",0,0.01,-0.01,"TMEM61",230
"ST6GALNAC5",0,0.01,-0.01,"ST6GALNAC5",231
"BARHL2",0,0.01,-0.01,"BARHL2",232
"KCNA10",0,0.01,-0.01,"KCNA10",233
"FAM19A3",0,0.01,-0.01,"FAM19A3",234
