"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Macrophage M1","Macrophage M2","Macrophage other","Mast","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"26","PRKAR1B","PRKAR1B","1.52","1.46","0.0600000000000001","20","0.64","0.00","0.42","1.14","0.00","0.25","0.03","0.20","0.29","0.38","0.43","0.47","0.61","0.63","0.83","0.34","1.24","1.55","0.00","1.46","0.82","0.98","0.00","1.52"
"27","PTTG2","PTTG2","0.26","0.04","0.22","8","0.00","0.00","0.04","0.00","0.00","0.01","0.00","0.00","0.05","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.26","0.00","0.00","0.00","0.00","0.00","0.74"
"28","RPGRIP1L","RPGRIP1L","0.26","0.2","0.06","22","0.00","0.00","0.06","0.00","0.00","0.03","0.00","0.17","0.01","0.20","0.17","0.01","0.12","0.13","0.06","0.00","0.20","0.26","0.00","0.00","0.14","0.00","0.00","0.31"
"29","SALL4","SALL4","0.44","0.15","0.29","5","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.70","0.00","0.00","0.15","0.00","0.00","0.44"
"30","SLC25A44","SLC25A44","2.02","1.91","0.11","15","0.01","1.19","0.07","0.44","0.82","0.94","0.00","1.51","1.10","1.57","1.57","1.56","1.22","1.40","0.00","1.91","1.90","2.02","0.56","0.53","1.90","0.72","0.73","2.40"
"31","SLC27A2","SLC27A2","1.85","1.66","0.19","10","0.00","0.00","0.01","0.05","0.03","0.03","0.00","0.04","0.00","1.66","0.04","0.12","0.22","0.27","0.04","0.02","1.10","1.91","0.00","1.54","1.15","1.05","0.00","1.85"
"32","SP6","SP6","0.19","0.07","0.12","14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.19","0.00","0.00","0.00","0.00","0.00","0.25"
"33","TIGD4","TIGD4","0.27","0.15","0.12","13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.15","0.00","0.04","0.00","0.01","0.00","0.00","0.03","0.77","0.00","0.00","0.00","0.00","0.00","0.27"
"34","TNFRSF9","TNFRSF9","3.76","2.98","0.78","1","0.02","0.11","0.03","0.02","0.02","0.01","2.23","0.05","0.04","0.07","1.78","1.09","0.05","0.23","2.98","2.34","2.31","3.76","0.00","1.75","0.86","0.67","0.00","5.29"
"35","TNIP3","TNIP3","2.88","2.28","0.6","3","0.01","0.00","0.01","0.00","0.00","0.08","0.04","0.33","0.18","0.02","0.02","1.04","0.17","0.51","0.03","2.28","1.34","2.88","0.00","0.64","0.99","0.46","0.00","3.03"
"36","TNS4","TNS4","0.39","0.19","0.2","9","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.14","0.00","0.00","0.03","0.01","0.03","0.00","0.19","0.05","0.39","0.00","0.00","0.09","0.00","0.00","0.66"
"37","TP53AIP1","TP53AIP1","0.03","0.01","0.02","36","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.18","0.00","0.00","0.00","0.00","0.00","0.03"
"38","TPPP","TPPP","0.16","0.12","0.04","26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.04","0.00","0.00","0.07","0.12","0.00","0.00","0.06","0.16","0.00","0.11","0.02","0.01","0.00","0.17"
"39","WNT6","WNT6","0.31","0.02","0.29","6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.02","0.00","0.00","0.00","0.00","0.31","0.00","0.00","0.00","0.00","0.00","0.89"
"40","XKR9","XKR9","0.15","0.09","0.06","21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.00","0.01","0.09","0.00","0.00","0.71"
