"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","CAF","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Endothelial","Macrophage M1","Macrophage M2","Macrophage other","Mast","Neutrophil","NK","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"25","PDCD1","PDCD1","2.84","3.39","-0.55","5998","0.91","0.24","0.94","0.43","0.96","1.45","0.23","2.35","0.00","0.25","0.63","0.40","0.00","0.18","1.42","0.00","2.40","1.06","3.17","4.04","0.00","3.39","2.86","2.26","1.75","2.84"
"26","PHEX","PHEX","1.54","0.67","0.87","10","0.17","0.41","0.15","0.15","0.58","0.00","0.37","0.00","0.08","0.20","0.15","0.27","0.00","0.13","0.51","0.00","0.28","0.00","0.67","2.24","0.00","0.43","0.44","0.47","0.48","1.54"
"27","PHLDA1","PHLDA1","5.41","5.14","0.27","36","0.00","0.29","0.31","0.38","5.23","1.18","4.07","2.72","4.89","4.90","4.15","4.21","3.39","2.85","4.60","2.03","3.24","3.77","3.90","5.76","0.00","2.43","4.59","5.14","5.00","5.41"
"28","PRDM1","PRDM1","5.29","4.79","0.5","19","2.94","1.27","0.98","1.77","2.81","2.70","3.17","2.75","4.40","3.66","3.72","3.27","0.75","1.50","4.20","2.44","4.21","3.88","4.79","5.38","0.00","2.91","4.66","4.61","4.23","5.29"
"29","PTPRJ","PTPRJ","3.78","3.33","0.45","20","0.00","0.87","2.22","0.52","0.47","2.09","2.64","2.27","0.65","3.07","3.01","3.04","0.90","3.15","3.27","1.21","2.89","3.18","3.33","3.78","0.00","2.58","2.83","2.20","2.53","3.83"
"30","RBPJ","RBPJ","5.88","5.58","0.3","34","3.47","3.19","3.49","3.38","4.07","5.00","5.58","4.34","4.33","5.24","5.58","5.26","3.65","5.34","4.57","3.33","4.26","4.27","4.64","6.44","0.00","3.79","4.75","4.98","4.67","5.88"
"31","RDH10","RDH10","3.26","2.44","0.82","12","1.08","0.74","0.62","0.46","1.28","0.93","0.78","1.45","1.99","1.71","2.35","2.44","2.13","0.82","1.94","0.87","1.59","2.18","1.73","3.26","0.00","1.37","1.87","1.21","0.89","3.72"
"32","SIRPG","SIRPG","3.54","3.15","0.39","25","0.96","0.00","0.07","0.00","0.00","0.25","0.00","0.00","0.00","0.08","0.27","0.03","0.30","0.00","2.24","1.77","2.65","1.29","2.56","4.00","0.00","3.15","2.29","1.80","2.46","3.54"
"33","SNAP47","SNAP47","2.16","1.62","0.54","17","0.52","1.11","0.93","1.48","1.19","1.34","0.51","0.32","1.00","0.63","0.68","0.72","0.90","0.47","1.44","0.00","1.53","1.62","1.35","2.38","0.00","0.64","1.50","1.16","1.29","2.16"
"34","SNX9","SNX9","5.05","4.71","0.34","31","3.60","4.23","4.22","3.83","3.80","3.18","3.71","3.49","3.22","3.43","4.23","3.63","2.43","0.69","3.08","4.71","2.77","2.37","3.08","5.18","0.00","3.58","3.65","4.16","3.35","5.05"
"35","SYT11","SYT11","3.77","3.35","0.42","23","2.21","0.09","0.75","0.85","2.44","0.48","1.85","1.79","2.81","1.85","2.09","1.84","2.80","0.58","3.25","0.77","3.04","2.59","3.35","4.38","0.00","2.71","2.46","2.77","2.82","3.77"
"36","TIGIT","TIGIT","5.99","4.86","1.13","7","0.97","0.00","0.49","0.46","1.07","0.50","1.47","0.00","0.20","0.38","0.36","0.50","0.72","0.29","4.14","0.00","4.29","4.51","4.86","6.05","0.00","4.23","3.45","3.24","3.89","5.99"
"37","TNFRSF9","TNFRSF9","5.44","5.14","0.300000000000001","33","1.60","1.47","0.91","1.10","1.44","1.54","3.13","4.21","0.69","2.07","1.60","1.95","4.47","1.74","4.07","0.00","3.36","2.87","5.14","6.12","0.00","3.36","3.18","3.16","2.98","5.44"
"38","ZBED2","ZBED2","2.69","1.38","1.31","4","0.37","0.14","0.00","0.00","0.00","0.00","0.00","0.00","0.43","0.06","0.09","0.21","0.00","0.00","0.27","0.00","0.42","0.00","1.38","3.10","0.00","0.22","1.05","0.38","0.47","2.69"
"39","ZC3H12C","ZC3H12C","1.68","1.3","0.38","27","0.00","0.00","0.00","0.00","0.34","1.30","0.00","0.00","0.74","1.00","0.53","0.81","0.51","0.49","0.39","0.00","0.66","0.00","0.74","2.18","0.00","0.61","0.11","0.48","0.32","1.68"
"40","ZNF282","ZNF282","3.42","2.67","0.75","14","0.92","0.72","0.45","0.71","1.81","0.89","1.06","2.17","2.67","1.21","1.34","1.39","1.37","0.57","2.32","0.00","1.65","0.51","2.03","3.49","0.00","0.78","1.45","1.49","1.41","3.42"
