"","min_2","max_other","target_score","gene","rank"
"MEIG1",0.2,0.15,0.05,"MEIG1",112
"OR5M8",0.14,0.09,0.05,"OR5M8",113
"RAD51AP2",0.2,0.15,0.05,"RAD51AP2",114
"PSORS1C2",0.19,0.14,0.05,"PSORS1C2",115
"AGMAT",2.09,2.04,0.0499999999999998,"AGMAT",116
"IL32",6.74,6.69,0.0499999999999998,"IL32",117
"ATP9A",1.08,1.04,0.04,"ATP9A",118
"CCDC117",3.05,3.01,0.04,"CCDC117",119
"GBP5",3.71,3.67,0.04,"GBP5",120
"KIAA1324",2.75,2.71,0.04,"KIAA1324",121
"TTC7A",2.64,2.6,0.04,"TTC7A",122
"DIO3",0.07,0.03,0.04,"DIO3",123
"GALNT10",3.26,3.22,0.0399999999999996,"GALNT10",124
"PIK3C3",2.7,2.67,0.0300000000000002,"PIK3C3",125
"RFX7",2.24,2.21,0.0300000000000002,"RFX7",126
"TMEM14B",2.95,2.92,0.0300000000000002,"TMEM14B",127
"UBE2D2",4.07,4.04,0.0300000000000002,"UBE2D2",128
"CMTM5",0.3,0.27,0.03,"CMTM5",129
"KCNK9",0.35,0.32,0.03,"KCNK9",130
"ADCY8",0.28,0.26,0.02,"ADCY8",131
"CLPTM1L",3.22,3.2,0.02,"CLPTM1L",132
"CYP24A1",0.27,0.25,0.02,"CYP24A1",133
"DDI2",3.13,3.11,0.02,"DDI2",134
"DENND1C",2.94,2.92,0.02,"DENND1C",135
"PATE3",0.23,0.21,0.02,"PATE3",136
"PLEKHN1",0.44,0.42,0.02,"PLEKHN1",137
"ZNF638",2.93,2.91,0.02,"ZNF638",138
"KAAG1",0.13,0.11,0.02,"KAAG1",139
"PRSS46",0.04,0.02,0.02,"PRSS46",140
"SLC16A8",0.16,0.14,0.02,"SLC16A8",141
"SHC4",0.41,0.39,0.02,"SHC4",142
"CDV3",5.31,5.29,0.0199999999999996,"CDV3",143
"DYNLRB1",4.55,4.53,0.0199999999999996,"DYNLRB1",144
"PSMD8",4.14,4.12,0.0199999999999996,"PSMD8",145
"THRAP3",3.58,3.57,0.0100000000000002,"THRAP3",146
"TRPM7",2.99,2.98,0.0100000000000002,"TRPM7",147
"C8orf76",1.91,1.9,0.01,"C8orf76",148
"CGA",0.38,0.37,0.01,"CGA",149
"DSCAM",0.1,0.09,0.01,"DSCAM",150
"LCE3C",0.02,0.01,0.01,"LCE3C",151
"OR5P2",0.08,0.07,0.01,"OR5P2",152
"EAPP",3.15,3.14,0.00999999999999979,"EAPP",153
"GID8",2.84,2.83,0.00999999999999979,"GID8",154
"HUWE1",3.59,3.58,0.00999999999999979,"HUWE1",155
"SDF4",3.88,3.87,0.00999999999999979,"SDF4",156
"TAX1BP1",4.95,4.94,0.00999999999999979,"TAX1BP1",157
"ACTG2",0.61,0.61,0,"ACTG2",158
"ACTL7B",0,0,0,"ACTL7B",159
"ALDOC",2.37,2.37,0,"ALDOC",160
"C4B",0,0,0,"C4B",161
"CGB2",0,0,0,"CGB2",162
"CHIC1",1.58,1.58,0,"CHIC1",163
"E2F6",2.14,2.14,0,"E2F6",164
"FRG2",0,0,0,"FRG2",165
"GRAMD1B",1.99,1.99,0,"GRAMD1B",166
"GSK3B",2.69,2.69,0,"GSK3B",167
"GUCA2B",0,0,0,"GUCA2B",168
"HIST1H2BK",0,0,0,"HIST1H2BK",169
"IFNA21",0,0,0,"IFNA21",170
"ITGB1BP1",2.55,2.55,0,"ITGB1BP1",171
"KRTAP1.4",0,0,0,"KRTAP1.4",172
"KRTAP19.6",0,0,0,"KRTAP19.6",173
"KRTAP20.2",0,0,0,"KRTAP20.2",174
"KRTAP23.1",0,0,0,"KRTAP23.1",175
"KRTAP4.11",0,0,0,"KRTAP4.11",176
"KRTAP5.3",0,0,0,"KRTAP5.3",177
"KRTAP6.3",0,0,0,"KRTAP6.3",178
"KRTAP9.3",0,0,0,"KRTAP9.3",179
"KRTAP9.4",0,0,0,"KRTAP9.4",180
"KRTAP9.9",0,0,0,"KRTAP9.9",181
"LCE2A",0,0,0,"LCE2A",182
"LRRTM3",0.12,0.12,0,"LRRTM3",183
"MLNR",0,0,0,"MLNR",184
"NAT14",0.57,0.57,0,"NAT14",185
"NUTM2E",0,0,0,"NUTM2E",186
"OCLM",0,0,0,"OCLM",187
"OR11H6",0,0,0,"OR11H6",188
"OR1L4",0,0,0,"OR1L4",189
"OR2A7",0,0,0,"OR2A7",190
"OR4C6",0,0,0,"OR4C6",191
"OR51V1",0,0,0,"OR51V1",192
"OR5M3",0,0,0,"OR5M3",193
"PAGE1",0,0,0,"PAGE1",194
"PAGE2B",0,0,0,"PAGE2B",195
"PCDHA12",0,0,0,"PCDHA12",196
"PPM1G",4.42,4.42,0,"PPM1G",197
"PRAMEF5",0,0,0,"PRAMEF5",198
"PRSS56",0.18,0.18,0,"PRSS56",199
"PSMC5",2.74,2.74,0,"PSMC5",200
"SERPINA12",0.1,0.1,0,"SERPINA12",201
"SLC51B",0,0,0,"SLC51B",202
"SMARCC1",3.65,3.65,0,"SMARCC1",203
"SPACA5",0,0,0,"SPACA5",204
"SPAG11A",0,0,0,"SPAG11A",205
"SPINK14",0,0,0,"SPINK14",206
"THADA",2.8,2.8,0,"THADA",207
"TSHB",0,0,0,"TSHB",208
"VCX2",0,0,0,"VCX2",209
"VCX3B",0,0,0,"VCX3B",210
"ZBED6",0,0,0,"ZBED6",211
"ANP32B",5.01,5.02,-0.00999999999999979,"ANP32B",212
"PRRC1",2.41,2.42,-0.00999999999999979,"PRRC1",213
"UBXN4",4.23,4.24,-0.00999999999999979,"UBXN4",214
"ACE2",0.23,0.24,-0.00999999999999998,"ACE2",215
"C1orf185",0.08,0.09,-0.01,"C1orf185",216
"FDCSP",0.08,0.09,-0.01,"FDCSP",217
"IL31",0.08,0.09,-0.01,"IL31",218
"A3GALT2",0,0.01,-0.01,"A3GALT2",219
"AMTN",0,0.01,-0.01,"AMTN",220
"CGB1",0,0.01,-0.01,"CGB1",221
"CYP2C19",0,0.01,-0.01,"CYP2C19",222
"DEFB110",0,0.01,-0.01,"DEFB110",223
"DEFB136",0,0.01,-0.01,"DEFB136",224
"DEFB4A",0,0.01,-0.01,"DEFB4A",225
"EFCAB9",0,0.01,-0.01,"EFCAB9",226
"GOLGA6L22",0,0.01,-0.01,"GOLGA6L22",227
"GPR152",0,0.01,-0.01,"GPR152",228
"GUCA2A",0,0.01,-0.01,"GUCA2A",229
"IFNA7",0,0.01,-0.01,"IFNA7",230
"INSL6",0,0.01,-0.01,"INSL6",231
"KRTAP10.1",0,0.01,-0.01,"KRTAP10.1",232
"KRTAP13.4",0,0.01,-0.01,"KRTAP13.4",233
"KRTAP21.3",0,0.01,-0.01,"KRTAP21.3",234
"KRTAP22.2",0,0.01,-0.01,"KRTAP22.2",235
"KRTAP25.1",0,0.01,-0.01,"KRTAP25.1",236
"LCE2C",0,0.01,-0.01,"LCE2C",237
"LGALS13",0,0.01,-0.01,"LGALS13",238
"MRGPRG",0,0.01,-0.01,"MRGPRG",239
"MT1HL1",0,0.01,-0.01,"MT1HL1",240
"NPIPA8",0,0.01,-0.01,"NPIPA8",241
"ODF1",0,0.01,-0.01,"ODF1",242
"OR10W1",0,0.01,-0.01,"OR10W1",243
"OR2A1",0,0.01,-0.01,"OR2A1",244
"OR2A2",0,0.01,-0.01,"OR2A2",245
"OR2W1",0,0.01,-0.01,"OR2W1",246
"OR5B17",0,0.01,-0.01,"OR5B17",247
"OR5M10",0,0.01,-0.01,"OR5M10",248
"OR8I2",0,0.01,-0.01,"OR8I2",249
"PGAM4",0,0.01,-0.01,"PGAM4",250
"RNASE12",0,0.01,-0.01,"RNASE12",251
"SPRR2F",0,0.01,-0.01,"SPRR2F",252
"SULT1C3",0,0.01,-0.01,"SULT1C3",253
"TGIF2LY",0,0.01,-0.01,"TGIF2LY",254
"TMEM211",0,0.01,-0.01,"TMEM211",255
"TRIM43",0,0.01,-0.01,"TRIM43",256
"VCX3A",0,0.01,-0.01,"VCX3A",257
"ZNF705D",0,0.01,-0.01,"ZNF705D",258
"CAPN6",0.15,0.16,-0.01,"CAPN6",259
"KCTD21",1.61,1.62,-0.01,"KCTD21",260
"KPTN",0.57,0.58,-0.01,"KPTN",261
"NCDN",1.74,1.75,-0.01,"NCDN",262
"PALB2",1.11,1.12,-0.01,"PALB2",263
"PROKR2",0.12,0.13,-0.01,"PROKR2",264
"ZG16",0.92,0.93,-0.01,"ZG16",265
"LRBA",3.42,3.43,-0.0100000000000002,"LRBA",266
"METTL8",3.11,3.12,-0.0100000000000002,"METTL8",267
"PPP1R7",2.86,2.87,-0.0100000000000002,"PPP1R7",268
"AHSA1",4.29,4.31,-0.0199999999999996,"AHSA1",269
"YY1",4.37,4.39,-0.0199999999999996,"YY1",270
"PPP1R3F",0.92,0.94,-0.0199999999999999,"PPP1R3F",271
"C17orf53",0.27,0.29,-0.02,"C17orf53",272
"CEND1",0.27,0.29,-0.02,"CEND1",273
"KIF1A",0.4,0.42,-0.02,"KIF1A",274
"ACOT12",0.14,0.16,-0.02,"ACOT12",275
"PSG1",0.1,0.12,-0.02,"PSG1",276
"MCIDAS",0.04,0.06,-0.02,"MCIDAS",277
"ABHD16B",0,0.02,-0.02,"ABHD16B",278
"ANKRD61",0,0.02,-0.02,"ANKRD61",279
"CLDN22",0,0.02,-0.02,"CLDN22",280
"DEFA6",0,0.02,-0.02,"DEFA6",281
"DEFB116",0,0.02,-0.02,"DEFB116",282
"DMRTC1",0,0.02,-0.02,"DMRTC1",283
"GP9",0,0.02,-0.02,"GP9",284
"GSTA3",0,0.02,-0.02,"GSTA3",285
"HSPB3",0,0.02,-0.02,"HSPB3",286
"KISS1",0,0.02,-0.02,"KISS1",287
"KRTAP10.8",0,0.02,-0.02,"KRTAP10.8",288
"MAGEA2B",0,0.02,-0.02,"MAGEA2B",289
"OR2B2",0,0.02,-0.02,"OR2B2",290
"OR2T8",0,0.02,-0.02,"OR2T8",291
"OR4D11",0,0.02,-0.02,"OR4D11",292
"OR5T1",0,0.02,-0.02,"OR5T1",293
"OR5T3",0,0.02,-0.02,"OR5T3",294
"SLCO1B7",0,0.02,-0.02,"SLCO1B7",295
"SPIN2B",0,0.02,-0.02,"SPIN2B",296
"SPRR1A",0,0.02,-0.02,"SPRR1A",297
"TBC1D3C",0,0.02,-0.02,"TBC1D3C",298
"USP17L7",0,0.02,-0.02,"USP17L7",299
"ZNF705A",0,0.02,-0.02,"ZNF705A",300
"ZNF735",0,0.02,-0.02,"ZNF735",301
"TSSK2",0.03,0.05,-0.02,"TSSK2",302
"C16orf87",1.81,1.83,-0.02,"C16orf87",303
"CHN1",3.23,3.25,-0.02,"CHN1",304
"EXOSC1",2.38,2.4,-0.02,"EXOSC1",305
"GBP6",0.36,0.38,-0.02,"GBP6",306
"PELP1",2.12,2.14,-0.02,"PELP1",307
"PHRF1",2.1,2.12,-0.02,"PHRF1",308
"PPP1R3A",0.12,0.14,-0.02,"PPP1R3A",309
"PSMD13",3.58,3.6,-0.02,"PSMD13",310
"RNF34",2.68,2.7,-0.02,"RNF34",311
"SMYD1",0.12,0.14,-0.02,"SMYD1",312
"SSPO",0.64,0.66,-0.02,"SSPO",313
"TNPO3",3.3,3.32,-0.02,"TNPO3",314
"DIAPH1",4.51,4.53,-0.0200000000000005,"DIAPH1",315
"DGUOK",3.33,3.36,-0.0299999999999998,"DGUOK",316
"LMAN1",3.12,3.15,-0.0299999999999998,"LMAN1",317
"MAP2K7",3.1,3.13,-0.0299999999999998,"MAP2K7",318
"UBAC2",3.1,3.13,-0.0299999999999998,"UBAC2",319
"C10orf67",0.26,0.29,-0.03,"C10orf67",320
"C12orf71",0,0.03,-0.03,"C12orf71",321
"C1orf189",0,0.03,-0.03,"C1orf189",322
"CBY3",0,0.03,-0.03,"CBY3",323
"CCDC89",0,0.03,-0.03,"CCDC89",324
"CLCNKB",0,0.03,-0.03,"CLCNKB",325
"CLPS",0,0.03,-0.03,"CLPS",326
"CRTAC1",0.22,0.25,-0.03,"CRTAC1",327
"CST8",0,0.03,-0.03,"CST8",328
"CST9",0.08,0.11,-0.03,"CST9",329
"FABP9",0,0.03,-0.03,"FABP9",330
"GNAT3",0,0.03,-0.03,"GNAT3",331
"GRHL2",0.14,0.17,-0.03,"GRHL2",332
"HSFX1",0,0.03,-0.03,"HSFX1",333
"HYPM",0,0.03,-0.03,"HYPM",334
"IFNA5",0,0.03,-0.03,"IFNA5",335
"IFNL3",0,0.03,-0.03,"IFNL3",336
"IGFL3",0,0.03,-0.03,"IGFL3",337
"INS",0,0.03,-0.03,"INS",338
"KRTAP19.1",0,0.03,-0.03,"KRTAP19.1",339
"KRTAP5.1",0,0.03,-0.03,"KRTAP5.1",340
"KRTAP5.6",0,0.03,-0.03,"KRTAP5.6",341
"LCE1C",0.08,0.11,-0.03,"LCE1C",342
"LCE2B",0,0.03,-0.03,"LCE2B",343
"LRRC30",0,0.03,-0.03,"LRRC30",344
"MAGEA6",0,0.03,-0.03,"MAGEA6",345
"MAGEB4",0,0.03,-0.03,"MAGEB4",346
"MYH1",0,0.03,-0.03,"MYH1",347
"NPS",0,0.03,-0.03,"NPS",348
"OR10A5",0,0.03,-0.03,"OR10A5",349
"OR2T29",0,0.03,-0.03,"OR2T29",350
"OR4A47",0,0.03,-0.03,"OR4A47",351
"OR4K1",0,0.03,-0.03,"OR4K1",352
"OR56A5",0,0.03,-0.03,"OR56A5",353
"PRAMEF8",0,0.03,-0.03,"PRAMEF8",354
"PRR23B",0,0.03,-0.03,"PRR23B",355
"SCGB1D2",0,0.03,-0.03,"SCGB1D2",356
"SPDYE1",0,0.03,-0.03,"SPDYE1",357
"STATH",0.09,0.12,-0.03,"STATH",358
