"","min_2","max_other","target_score","gene","rank"
"IL20RA",0,0,0,"IL20RA",113
"OR1L3",0,0,0,"OR1L3",114
"KRT34",0,0,0,"KRT34",115
"CPO",0,0,0,"CPO",116
"PIANP",0,0,0,"PIANP",117
"OR5W2",0,0,0,"OR5W2",118
"STH",0,0,0,"STH",119
"TRIM77",0,0,0,"TRIM77",120
"USP17L7",0,0,0,"USP17L7",121
"NKAIN1",0,0,0,"NKAIN1",122
"ADAM29",0,0,0,"ADAM29",123
"TAS2R9",0,0,0,"TAS2R9",124
"C20orf85",0,0,0,"C20orf85",125
"CDHR4",0,0,0,"CDHR4",126
"C9orf57",0,0,0,"C9orf57",127
"ROPN1B",0,0,0,"ROPN1B",128
"KCNG3",0,0,0,"KCNG3",129
"NTSR2",0,0,0,"NTSR2",130
"PTH",0,0,0,"PTH",131
"FGF10",0,0,0,"FGF10",132
"LRRIQ1",0,0,0,"LRRIQ1",133
"SOSTDC1",0,0,0,"SOSTDC1",134
"KRTAP2.4",0,0,0,"KRTAP2.4",135
"WFDC10B",0,0,0,"WFDC10B",136
"ATRNL1",0,0,0,"ATRNL1",137
"OR2M3",0,0,0,"OR2M3",138
"JPH1",0,0,0,"JPH1",139
"SLC25A31",0,0,0,"SLC25A31",140
"MAPK4",0,0,0,"MAPK4",141
"DNASE2B",0,0,0,"DNASE2B",142
"KCNIP3",0,0,0,"KCNIP3",143
"PRSS54",0,0,0,"PRSS54",144
"OR51Q1",0,0,0,"OR51Q1",145
"TMC2",0,0,0,"TMC2",146
"DHRS7C",0,0,0,"DHRS7C",147
"DBX2",0,0,0,"DBX2",148
"ATP6V1G3",0,0,0,"ATP6V1G3",149
"C3orf20",0,0,0,"C3orf20",150
"C18orf63",0,0,0,"C18orf63",151
"PROKR1",0,0,0,"PROKR1",152
"GAGE12C",0,0,0,"GAGE12C",153
"EYA1",0,0,0,"EYA1",154
"NPAS4",0,0,0,"NPAS4",155
"RNASE9",0,0,0,"RNASE9",156
"PLD5",0,0,0,"PLD5",157
"C8orf34",0,0,0,"C8orf34",158
"DEFB131",0,0,0,"DEFB131",159
"FGF14",0,0,0,"FGF14",160
"LHCGR",0,0,0,"LHCGR",161
"PSG2",0,0,0,"PSG2",162
"HAND1",0,0,0,"HAND1",163
"PDZRN4",0,0,0,"PDZRN4",164
"DEFB127",0,0,0,"DEFB127",165
"OR51E1",0,0,0,"OR51E1",166
"FAM133A",0,0,0,"FAM133A",167
"TTYH1",0,0,0,"TTYH1",168
"HOXB9",0,0,0,"HOXB9",169
"FOXD1",0,0,0,"FOXD1",170
"OR51B5",0,0,0,"OR51B5",171
"POPDC3",0,0,0,"POPDC3",172
"B3GALT1",0,0,0,"B3GALT1",173
"HIST1H3F",0,0,0,"HIST1H3F",174
"HPSE2",0,0,0,"HPSE2",175
"MRGPRD",0,0,0,"MRGPRD",176
"AADACL4",0,0,0,"AADACL4",177
"NLRP10",0,0,0,"NLRP10",178
"CNTFR",0,0,0,"CNTFR",179
"KRTAP29.1",0,0,0,"KRTAP29.1",180
"CSRP3",0,0,0,"CSRP3",181
"RDH8",0,0,0,"RDH8",182
"CCL26",0,0,0,"CCL26",183
"PHF21B",0,0,0,"PHF21B",184
"PRMT8",0,0,0,"PRMT8",185
"ROPN1",0,0,0,"ROPN1",186
"ADH1C",0,0,0,"ADH1C",187
"SST",0,0,0,"SST",188
"GXYLT2",0,0,0,"GXYLT2",189
"LCE1C",0,0,0,"LCE1C",190
"FOXE3",0,0,0,"FOXE3",191
"CERS3",0,0,0,"CERS3",192
"EVX1",0,0,0,"EVX1",193
"OR4A16",0,0,0,"OR4A16",194
"ACOT6",0,0,0,"ACOT6",195
"ALOXE3",0,0,0,"ALOXE3",196
"TAS2R42",0,0,0,"TAS2R42",197
"GYS2",0,0,0,"GYS2",198
"ASPG",0,0,0,"ASPG",199
"GRID2",0,0,0,"GRID2",200
