"","min_2","max_other","target_score","gene","rank"
"TAP1",4.08,4,0.0800000000000001,"TAP1",111
"PTPN9",1.2,1.12,0.0799999999999998,"PTPN9",112
"ABT1",3.3,3.22,0.0799999999999996,"ABT1",113
"PSMD14",3.49,3.42,0.0700000000000003,"PSMD14",114
"MED4",3.91,3.84,0.0700000000000003,"MED4",115
"COMMD10",2.37,2.3,0.0700000000000003,"COMMD10",116
"RAN",5.42,5.35,0.0700000000000003,"RAN",117
"TPR",4.71,4.64,0.0700000000000003,"TPR",118
"UBE2D2",4.78,4.71,0.0700000000000003,"UBE2D2",119
"NELFB",1.28,1.21,0.0700000000000001,"NELFB",120
"CCAR2",1.34,1.27,0.0700000000000001,"CCAR2",121
"TOR1A",2.54,2.47,0.0699999999999998,"TOR1A",122
"IAH1",3.4,3.33,0.0699999999999998,"IAH1",123
"GSK3B",2.4,2.33,0.0699999999999998,"GSK3B",124
"ASB2",2.78,2.71,0.0699999999999998,"ASB2",125
"PSMC6",3.44,3.37,0.0699999999999998,"PSMC6",126
"HNRNPC",5.6,5.53,0.0699999999999994,"HNRNPC",127
"SMC5",3.1,3.04,0.0600000000000001,"SMC5",128
"CYFIP2",3.09,3.03,0.0600000000000001,"CYFIP2",129
"NRBP1",3.15,3.09,0.0600000000000001,"NRBP1",130
"MCM3",2.39,2.33,0.0600000000000001,"MCM3",131
"GGACT",1.03,0.97,0.0600000000000001,"GGACT",132
"AIP",3.88,3.82,0.0600000000000001,"AIP",133
"REEP2",0.09,0.03,0.06,"REEP2",134
"MEF2D",1.67,1.61,0.0599999999999998,"MEF2D",135
"RBPJ",5.1,5.04,0.0599999999999996,"RBPJ",136
"RBM7",2.49,2.44,0.0500000000000003,"RBM7",137
"CPSF6",2.66,2.61,0.0500000000000003,"CPSF6",138
"U2AF2",2.66,2.61,0.0500000000000003,"U2AF2",139
"HDAC1",3.58,3.53,0.0500000000000003,"HDAC1",140
"ZDHHC6",2.14,2.09,0.0500000000000003,"ZDHHC6",141
"MRPL49",2.41,2.36,0.0500000000000003,"MRPL49",142
"VBP1",3.22,3.17,0.0500000000000003,"VBP1",143
"HDAC3",2.47,2.42,0.0500000000000003,"HDAC3",144
"ARL15",0.75,0.7,0.05,"ARL15",145
"BRF2",1.19,1.14,0.05,"BRF2",146
"SRRM1",5.13,5.08,0.0499999999999998,"SRRM1",147
"DR1",3.07,3.02,0.0499999999999998,"DR1",148
"ABCF1",3.88,3.83,0.0499999999999998,"ABCF1",149
"RPUSD3",2.29,2.24,0.0499999999999998,"RPUSD3",150
"NFYB",2.44,2.39,0.0499999999999998,"NFYB",151
"DDX28",1.13,1.08,0.0499999999999998,"DDX28",152
"PSMG2",3.69,3.64,0.0499999999999998,"PSMG2",153
"ABCD4",2.25,2.2,0.0499999999999998,"ABCD4",154
"SNRNP70",3.57,3.52,0.0499999999999998,"SNRNP70",155
"SRPK1",3.07,3.02,0.0499999999999998,"SRPK1",156
"IMMT",2.98,2.94,0.04,"IMMT",157
"SLC35D2",1.25,1.21,0.04,"SLC35D2",158
"CHKB",2.3,2.26,0.04,"CHKB",159
"KIFAP3",2.11,2.07,0.04,"KIFAP3",160
"GTF2A2",3.89,3.85,0.04,"GTF2A2",161
"CDIP1",2.21,2.17,0.04,"CDIP1",162
"HNRNPF",4.65,4.61,0.04,"HNRNPF",163
"HOXB2",3.17,3.13,0.04,"HOXB2",164
"COA6",2.46,2.42,0.04,"COA6",165
"HERC5",2.19,2.15,0.04,"HERC5",166
"ASNSD1",2.69,2.65,0.04,"ASNSD1",167
"ANKZF1",2.57,2.53,0.04,"ANKZF1",168
"MRS2",1.36,1.32,0.04,"MRS2",169
"VPS16",1.68,1.64,0.04,"VPS16",170
"SLC37A3",1.26,1.22,0.04,"SLC37A3",171
"RGS6",0.05,0.01,0.04,"RGS6",172
"PITPNM2",0.35,0.31,0.04,"PITPNM2",173
