"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"3350","CNPPD1",11218,13591,2301,10941,8919,11369,6514,14644,7850,7181,9452.8
"3351","CNPY1",NA,NA,NA,660,NA,1121,NA,1782,NA,NA,1187.66666666667
"3352","CNPY2",12980,9474,3670,13214,13180,3417,14023,11090,10791,8451,10029
"3353","CNPY3",12990,13035,11039,15433,11509,14459,13607,10268,10316,11648,12430.4
"3354","CNPY4",6415,10029,3451,10154,5653,13680,4335,11435,1760,4686,7159.8
"3355","CNR1",11795,9598,11595,15993,13992,15793,10484,11381,5523,6861,11301.5
"3356","CNR2",15640,12602,13268,17892,15135,14865,15328,17383,11108,9332,14255.3
"3357","CNRIP1",16361,16746,13271,17647,14390,17673,15589,17262,12028,13717,15468.4
"3358","CNST",11687,14994,8986,15749,8750,7532,9970,6528,7897,9390,10148.3
"3359","CNTD1",5440,3325,468,9038,1157,6173,2062,4743,2046,7406,4185.8
"3360","CNTD2",1622,5644,NA,5411,12102,2546,NA,6513,NA,602,4920
"3361","CNTF",541,2645,NA,5536,1296,2547,8362,6500,NA,NA,3918.14285714286
"3362","CNTFR",519,179,2691,736,1476,834,4233,1138,NA,NA,1475.75
"3363","CNTLN",14329,10595,11119,12507,15030,14493,14873,17955,11094,8243,13023.8
"3364","CNTN1",6430,877,469,4571,1158,10758,NA,1264,NA,NA,3646.71428571429
"3365","CNTN2",2602,5031,NA,6777,2431,6610,6110,1419,NA,NA,4425.71428571429
"3366","CNTN3",2366,624,213,1045,2305,2183,689,1612,NA,176,1245.88888888889
"3367","CNTN4",8713,3033,782,1867,561,14075,8202,1313,NA,5849,4932.77777777778
"3368","CNTN5",1429,3006,NA,2954,1865,6206,NA,1710,NA,227,2485.28571428571
"3369","CNTN6",382,648,NA,1193,3516,5297,NA,1969,NA,NA,2167.5
"3370","CNTNAP1",4604,2114,6333,12769,8196,10296,10673,8754,NA,4108,7538.55555555556
"3371","CNTNAP2",5570,6130,12544,12981,14265,3782,15098,11077,5527,10317,9729.1
"3372","CNTNAP3",7929,13066,11537,14016,2379,7625,6461,3527,NA,3540,7786.66666666667
"3373","CNTNAP3B",14179,14517,4848,15788,5430,11189,4037,3255,NA,10559,9311.33333333333
"3374","CNTNAP4",1330,533,NA,654,2306,2413,NA,4046,NA,NA,1880.33333333333
"3375","CNTNAP5",NA,1326,NA,1321,133,5211,NA,878,NA,NA,1773.8
"3376","CNTRL",9407,12328,6114,12919,12821,4612,7560,5143,3565,5618,8008.7
"3377","CNTROB",5822,10821,9727,7014,5321,5453,10198,10511,4857,5620,7534.4
"3378","COA1",12956,9190,3389,10621,NA,11091,13775,12457,6861,6158,9610.88888888889
"3379","COA3",8248,8469,2716,12551,NA,6134,9540,7442,5567,4723,7265.55555555556
"3380","COA4",258,15284,2466,6897,NA,10388,5910,4230,3394,4174,5889
"3381","COA5",7701,12372,237,7960,NA,12657,4091,6764,1683,4947,6490.22222222222
"3382","COA6",7200,8489,1428,8666,NA,9259,1233,6982,165,832,4917.11111111111
"3383","COA7",6575,NA,6724,NA,NA,10587,8084,9662,4389,10604,8089.28571428571
"3384","COASY",4640,15370,10916,9023,NA,7680,4785,11676,4506,2276,7874.66666666667
"3385","COBL",5600,1549,8657,2497,3425,15566,8093,2551,NA,2006,5549.33333333333
"3386","COBLL1",15541,16273,13120,17463,15307,16981,15710,16250,11942,13749,15233.6
"3387","COCH",14840,14635,11887,17332,14466,13681,15112,16849,11425,13161,14338.8
"3388","COG1",2213,14622,819,8592,10233,11471,6487,7226,10267,2531,7446.1
"3389","COG2",2841,9515,6201,11428,10823,4826,9561,5424,4526,5225,7037
"3390","COG3",6329,14767,2676,11520,12756,6692,9161,8211,8573,7772,8845.7
"3391","COG4",1081,9947,4352,9498,9148,10845,1693,9016,1178,1120,5787.8
"3392","COG5",6309,9028,2467,7031,3601,14484,9415,5693,4113,9727,7186.8
"3393","COG6",8284,8270,7878,5232,9481,10902,10426,12603,4111,5307,8249.4
"3394","COG7",5821,5218,8324,3892,12037,9569,9450,5238,3137,3183,6586.9
"3395","COIL",6445,15911,2734,14202,12838,4307,7223,10483,10116,2916,8717.5
"3396","COL10A1",2100,3456,1090,14796,886,3471,2123,16135,NA,6626,5631.44444444444
"3397","COL11A1",2477,1328,NA,1491,4401,5669,NA,4692,NA,2107,3166.42857142857
"3398","COL11A2",9906,3239,NA,8248,6585,2548,4957,1527,NA,6123,5391.625
"3399","COL12A1",9837,4524,7122,15054,1971,12110,6235,14545,NA,7171,8729.88888888889
"3400","COL13A1",12342,16303,12811,14653,6162,14853,11148,9137,NA,12708,12235.2222222222
"3401","COL14A1",4248,3258,9034,868,2568,11505,5859,2676,NA,6575,5176.77777777778
"3402","COL15A1",16260,16796,9919,17929,4734,17455,12389,4587,NA,13740,12645.4444444444
"3403","COL16A1",7914,7200,6420,4593,1740,10759,1421,2096,NA,4032,5130.55555555556
"3404","COL17A1",3277,9291,2743,14382,134,10155,1000,13138,NA,10065,7131.66666666667
"3405","COL18A1",16226,15187,11990,17285,11753,17562,9772,4879,8675,12041,12537
"3406","COL19A1",15310,13062,12012,16737,14505,10527,14658,17539,11284,11792,13742.6
"3407","COL1A1",15137,16086,13349,3279,9581,16800,14098,5897,2328,11070,10762.5
"3408","COL1A2",15337,16636,11931,7992,11954,17275,14570,4015,360,7705,10777.5
"3409","COL20A1",NA,449,NA,474,4402,15481,NA,2701,NA,NA,4701.4
"3410","COL21A1",13829,8786,2572,4460,1597,12773,3648,5872,NA,4521,6450.88888888889
"3411","COL22A1",2888,1047,3981,5857,2213,10297,975,2363,NA,NA,3702.625
"3412","COL23A1",7172,9013,747,14278,12703,13977,10308,17650,NA,NA,10731
"3413","COL24A1",1240,6594,5438,4708,8672,7778,7719,12152,8817,2842,6596
"3414","COL25A1",3580,3221,NA,2197,4006,5563,1312,3396,NA,1222,3062.125
"3415","COL26A1",844,2019,NA,6215,1017,9682,735,3312,NA,NA,3403.42857142857
"3416","COL27A1",13251,3358,6779,5271,4403,12227,4380,12016,NA,13250,8326.11111111111
"3417","COL28A1",NA,1866,NA,1758,1972,12820,1129,3892,NA,3846,3897.57142857143
"3418","COL2A1",575,236,297,755,2928,12312,NA,3193,NA,657,2619.125
"3419","COL3A1",15237,16652,12119,4547,4614,16885,14363,10736,463,2059,9767.5
"3420","COL4A1",16601,16883,8261,17966,1159,18135,15494,9756,NA,13994,13138.7777777778
"3421","COL4A2",16542,16879,7185,17972,9961,18149,15191,15915,291,13956,13204.1
"3422","COL4A3",10959,7946,12013,17129,13506,16019,13800,15452,8928,12004,12775.6
"3423","COL4A3BP",5614,4118,5733,10066,9768,4827,11752,2545,3680,7633,6573.6
"3424","COL4A4",13725,6309,7945,14610,14034,14646,15262,16011,10433,6263,11923.8
"3425","COL4A5",4108,6062,8778,9946,5251,5454,3764,772,NA,3839,5330.44444444444
"3426","COL4A6",1292,767,NA,394,2929,4238,NA,2444,NA,NA,2010.66666666667
"3427","COL5A1",9788,4740,7394,2615,4945,11713,4622,13335,NA,1463,6735
"3428","COL5A2",11047,9545,7123,14036,8673,15826,7966,4908,NA,2837,9106.77777777778
"3429","COL5A3",5362,3008,11204,233,14542,10331,8230,3279,3807,415,6041.1
"3430","COL6A1",13754,14809,12920,14452,5534,17531,12309,9294,707,12181,11349.1
"3431","COL6A2",15589,15489,12120,16670,12817,17354,13574,15397,8770,11940,13972
"3432","COL6A3",13681,14801,10935,880,10598,9424,13477,7171,6536,1619,8912.2
"3433","COL6A5",8714,674,NA,1538,1973,2549,NA,2479,NA,NA,2987.83333333333
"3434","COL6A6",388,1574,320,3015,135,3472,NA,17198,NA,619,3340.125
"3435","COL7A1",10107,4174,1630,4339,3343,4005,1729,1610,NA,10884,4646.77777777778
"3436","COL8A1",14793,12970,4293,6957,8994,9836,4006,4828,NA,3285,7773.55555555556
"3437","COL8A2",12435,3826,11616,5289,14310,15482,10379,10149,2960,NA,9605.11111111111
"3438","COL9A1",446,3420,NA,2677,2569,9292,2844,5942,NA,778,3496
"3439","COL9A2",5282,8322,11828,3549,9729,10588,12903,12893,8929,9862,9388.5
"3440","COL9A3",11558,14206,12775,13331,12672,16886,15066,15840,11624,13487,13744.5
"3441","COLCA2",5111,NA,156,NA,4496,2414,3227,3535,NA,4861,3400
"3442","COLEC10",4030,2909,NA,2886,8863,5101,753,1788,NA,NA,3761.42857142857
"3443","COLEC11",9679,4333,NA,12966,2691,15170,12955,12614,NA,4825,9404.125
"3444","COLEC12",11818,13869,10989,14652,15345,14505,10502,4132,1888,4054,10175.4
"3445","COLGALT1",13601,NA,12384,NA,14182,16869,13898,15726,8951,9934,13193.125
"3446","COLGALT2",4999,NA,7325,NA,15219,9024,9220,6139,10471,2468,8108.125
"3447","COLQ",12199,13009,10223,15719,12872,13052,12791,17689,3730,2440,11372.4
"3448","COMMD1",13021,14695,10812,5329,7623,7099,10007,13324,4486,8223,9461.9
"3449","COMMD10",15104,11935,5097,7540,7872,11506,9132,6756,116,6203,8126.1
"3450","COMMD2",7435,12332,2343,7226,7383,8150,11328,8663,3502,3440,7180.2
"3451","COMMD3",10294,12898,6947,6600,11253,5992,13267,13164,9889,9213,9951.7
"3452","COMMD3.BMI1",NA,7404,NA,15287,12085,NA,NA,13153,NA,9631,11512
"3453","COMMD4",6140,12082,4693,14370,3957,12861,4454,8750,450,1668,6942.5
"3454","COMMD5",2692,3998,7443,7547,12086,12931,10346,6598,6365,3700,7370.6
"3455","COMMD6",10835,7865,2612,7864,8547,15754,3158,5316,5481,8830,7626.2
"3456","COMMD7",209,10936,1082,10916,7624,5884,206,15588,25,2883,5535.3
"3457","COMMD8",9053,8743,2403,5999,7433,8090,7024,6110,4553,3026,6243.4
"3458","COMMD9",11606,13063,6837,13446,12103,13756,13384,7295,9400,6097,10698.7
"3459","COMP",5802,1825,NA,392,5367,10264,2261,1288,NA,1471,3583.75
"3460","COMT",13464,15236,11942,15537,NA,15262,12549,13687,8617,6237,12503.4444444444
"3461","COMTD1",11903,15272,5790,2827,NA,11070,11935,14948,8122,10403,10252.2222222222
"3462","COPA",15188,7276,7911,9538,10011,16609,10964,4686,10286,9393,10186.2
"3463","COPB1",5534,7347,6390,6131,6377,10389,3504,10093,2008,7662,6543.5
"3464","COPB2",4394,14536,4745,11907,11510,4157,11034,13419,4414,3407,8352.3
"3465","COPE",8782,10465,41,4039,11544,7442,12950,13109,9832,6583,8478.7
"3466","COPG1",13592,12633,3515,9009,13243,5455,12316,13562,8605,7452,9938.2
"3467","COPG2",3595,5635,8123,11024,7722,8262,7153,6769,3342,875,6250
"3468","COPRS",13563,12819,11374,14266,12365,15767,12465,17656,8827,9592,12869.4
"3469","COPS2",2239,5469,2149,6401,4331,5322,3470,12040,8280,6974,5667.5
"3470","COPS3",6369,8950,4643,10493,4365,7851,10757,11119,4577,5258,7438.2
"3471","COPS4",5742,6869,5250,6561,4792,9072,2070,12541,1244,8902,6304.3
"3472","COPS5",3980,12274,2049,4605,12020,6371,9080,9362,2296,3875,6591.2
"3473","COPS6",1740,4905,5866,2295,5817,7846,884,6048,591,374,3636.6
"3474","COPS7A",7557,13024,5614,4184,4667,10188,4884,8865,4892,2401,6627.6
"3475","COPS7B",5944,5548,8325,6059,11383,13639,5654,5155,4956,2745,6940.8
"3476","COPS8",9217,7851,4866,7776,3009,4828,3741,7462,50,5889,5468.9
"3477","COPZ1",7872,11467,3068,95,9939,4197,9209,9912,6257,4927,6694.3
"3478","COPZ2",7678,12389,6050,11189,10599,11678,6625,6716,6110,NA,8781.55555555555
"3479","COQ10A",11809,15361,7124,16620,NA,11005,13030,6459,8157,11647,11245.7777777778
"3480","COQ10B",2220,62,7912,6026,NA,3192,180,6729,1107,2341,3307.66666666667
"3481","COQ2",13025,10036,11457,11035,NA,13805,12193,14854,8296,7484,11353.8888888889
"3482","COQ3",14731,12125,1063,6206,NA,10528,6451,14318,6713,1149,8142.66666666667
"3483","COQ4",12575,4659,4867,12483,NA,14381,9276,17168,6003,7586,9888.66666666667
"3484","COQ5",9183,10101,2050,9162,NA,10167,2190,9278,1919,2038,6232
"3485","COQ6",13459,7868,7739,8921,NA,10670,6711,4525,7470,5300,8073.66666666667
"3486","COQ7",12012,16075,9543,8972,NA,11299,13462,13439,9310,12948,11895.5555555556
"3487","COQ9",12835,6409,11184,4872,NA,4861,9579,5432,2278,7544,7221.55555555556
"3488","CORIN",402,1472,470,3615,1598,6898,4008,3942,NA,2656,2784.55555555556
"3489","CORO1A",2241,5302,1126,7459,2764,4074,3377,4345,694,20,3140.2
"3490","CORO1B",14931,15831,4574,16560,12758,9144,13576,977,10504,13183,11203.8
"3491","CORO1C",14377,13385,12392,16948,13568,16761,14424,14746,11040,9493,13713.4
"3492","CORO2A",5373,7168,5643,12214,11329,3966,11369,10827,2986,6727,7760.2
"3493","CORO2B",5792,2738,8186,3794,7289,15324,1377,2693,NA,NA,5899.125
"3494","CORO6",5463,1,1515,1383,2095,10493,4837,3072,341,8990,3819
"3495","CORO7",2698,94,3879,7238,4967,12512,5267,6926,10908,12739,6722.8
"3496","CORO7.PAM16",759,7832,NA,13489,6044,NA,NA,6605,NA,6452,6863.5
"3497","CORT",301,5715,NA,8498,7344,4108,1711,4296,NA,NA,4567.57142857143
"3498","COTL1",15438,11480,8920,7139,11246,15192,14711,14148,11088,10800,12016.2
"3499","COX10",3218,5308,5400,6884,NA,5212,7320,13142,1261,4596,5815.66666666667
"3500","COX11",7447,13828,4490,8415,NA,5798,2522,8369,4054,9717,7182.22222222222
"3501","COX14",2447,13676,3706,4163,NA,5516,3970,6481,2237,1121,4813
"3502","COX15",5618,11407,12223,7684,NA,11383,7046,6685,4705,4909,7962.22222222222
"3503","COX16",16304,9094,8825,7828,NA,5323,8487,4732,4647,9218,8273.11111111111
"3504","COX17",8769,11883,2185,5303,NA,7852,10442,9990,6081,5985,7610
"3505","COX18",5528,2995,5556,11329,NA,12005,13694,11572,10084,13026,9532.11111111111
"3506","COX19",4434,14403,8016,12243,NA,17756,8745,11109,1028,9993,9747.44444444445
"3507","COX20",1632,8750,4746,7786,NA,5102,6973,9840,1379,3543,5527.88888888889
"3508","COX4I1",8069,7980,2948,5601,NA,6319,6296,5641,3684,3272,5534.44444444444
"3509","COX4I2",12234,5842,NA,4961,NA,15353,12402,12418,NA,276,9069.42857142857
"3510","COX5A",9088,9895,936,2822,NA,8457,10016,9591,8425,7384,7401.55555555556
"3511","COX5B",6041,9891,291,7588,NA,6604,10104,9163,4393,6255,6703.33333333333
"3512","COX6A1",5193,8185,206,4141,NA,5072,4909,9905,5222,4704,5281.88888888889
"3513","COX6A2",620,246,NA,169,NA,998,2980,470,NA,NA,913.833333333333
"3514","COX6B1",10263,10648,80,7236,NA,17087,7814,10719,4848,7131,8425.11111111111
"3515","COX6B2",5468,5396,NA,13883,NA,9468,9447,1740,4427,1279,6388.5
"3516","COX6C",263,10379,1169,6983,NA,5324,2080,11080,858,8414,5172.22222222222
"3517","COX7A1",16141,15456,11318,16785,NA,17407,14119,17613,3455,NA,14036.75
"3518","COX7A2",8146,9102,315,3704,NA,56,11702,5835,9062,8415,6259.66666666667
"3519","COX7A2L",14374,6742,3020,4403,NA,15171,10356,2661,1307,1979,6668.11111111111
"3520","COX7B",13892,4498,277,13150,NA,4385,10763,12537,5065,6586,7905.88888888889
"3521","COX7B2",1662,702,NA,2682,4096,3690,2117,7197,NA,NA,3163.71428571429
"3522","COX7C",7618,11537,2186,10405,NA,11960,5736,7613,4394,4406,7317.22222222222
"3523","COX8A",10986,7062,769,6143,NA,17452,3603,10858,3964,6238,7452.77777777778
"3524","COX8C",1315,1967,NA,422,NA,835,1514,822,NA,NA,1145.83333333333
"3525","CP",13077,3027,9141,6468,4922,11384,11808,12243,NA,2713,8309.22222222222
"3526","CPA1",465,309,NA,1757,1477,7002,16114,17439,NA,NA,6366.14285714286
"3527","CPA2",NA,NA,NA,670,12584,1716,15966,11203,NA,NA,8427.8
"3528","CPA3",16661,17112,13441,16536,13691,18188,16115,18409,12276,14106,15653.5
"3529","CPA4",3704,3128,NA,6506,2883,6512,739,913,NA,NA,3483.57142857143
"3530","CPA5",13731,6115,9544,12303,11465,2415,11705,17326,1899,NA,9611.44444444445
"3531","CPA6",1917,234,NA,4065,5852,1346,NA,1135,NA,668,2173.85714285714
"3532","CPAMD8",11717,2388,3429,1928,3818,15988,12812,6882,10102,6709,7577.3
"3533","CPB1",1794,7390,9791,678,12456,7570,NA,2539,NA,NA,6031.14285714286
"3534","CPB2",2176,2123,NA,1343,NA,1236,10318,17515,NA,NA,5785.16666666667
"3535","CPD",13950,5652,12566,8926,5083,16605,9948,7353,7516,955,8855.4
"3536","CPE",16089,12974,10646,10668,2432,16455,13397,10818,NA,6556,11115
"3537","CPEB1",1324,2910,4294,12343,576,6052,8115,7797,NA,637,4894.22222222222
"3538","CPEB2",10470,8069,3028,9198,3127,7639,8348,12244,6067,4266,7245.6
"3539","CPEB3",4045,8345,7069,11842,10248,13848,6903,8245,4710,2926,7818.1
"3540","CPEB4",14098,14046,11932,6507,14836,16953,15814,17243,11910,11907,13524.6
"3541","CPED1",10058,13221,11120,15945,14391,16288,11532,12509,8364,10257,12368.5
"3542","CPLX1",15163,7507,4934,11784,11655,13593,11397,2299,1041,NA,8819.22222222222
"3543","CPLX2",4590,1425,NA,4351,1974,9385,1889,3520,NA,NA,3876.28571428571
"3544","CPLX3",NA,3005,NA,932,887,NA,2614,170,NA,NA,1521.6
"3545","CPLX4",770,NA,NA,10756,772,927,844,2633,NA,NA,2783.66666666667
"3546","CPM",16168,16472,13065,14481,15154,17279,15722,17874,11947,12917,15107.9
"3547","CPN1",NA,NA,NA,7196,1160,5687,787,8167,NA,NA,4599.4
"3548","CPN2",NA,2057,NA,3747,3819,6759,2449,17449,NA,1937,5459.57142857143
"3549","CPNE1",3224,5421,4517,5216,7314,2957,5420,1956,2725,6478,4522.8
"3550","CPNE2",91,9737,5977,12858,12552,16512,25,3972,8286,3017,7302.7
"3551","CPNE3",15997,7646,911,15195,14819,16821,15614,17135,10094,12802,12703.4
"3552","CPNE4",2129,2854,NA,1067,7086,3346,NA,5652,NA,NA,3689
"3553","CPNE5",15739,16032,13329,17452,15476,16552,15960,17601,12035,13762,15393.8
"3554","CPNE6",1830,922,NA,1766,NA,2416,NA,2370,NA,NA,1860.8
"3555","CPNE7",15549,14332,10478,14201,11898,6267,14428,16594,11385,13166,12829.8
"3556","CPNE8",14839,16118,9490,16436,12789,14591,11783,14597,8436,11687,13076.6
"3557","CPNE9",3001,6665,NA,2140,3344,9386,2205,2596,NA,NA,4191
"3558","CPO",NA,116,NA,5248,499,14427,NA,11376,NA,NA,6333.2
"3559","CPOX",4945,13626,4208,15790,NA,12899,12458,2395,1186,11340,8760.77777777778
"3560","CPPED1",13511,11583,13263,13734,13639,16672,13892,16101,11719,10278,13439.2
"3561","CPQ",15048,12968,12567,16094,13640,14392,15571,14202,11125,11393,13700
"3562","CPS1",5995,5277,1355,3532,NA,5539,3409,16701,NA,588,5299.5
"3563","CPSF1",13241,11307,10418,12489,7345,8804,6030,8676,6825,7670,9280.5
"3564","CPSF2",3084,10453,2051,7805,3416,2645,4539,5214,2462,7119,4878.8
"3565","CPSF3",4276,13138,6334,9870,4668,8972,7131,3490,4453,1197,6352.9
"3566","CPSF4",8318,11854,1540,9794,5102,9932,7605,11467,8221,5712,7954.5
"3567","CPSF4L",2661,447,NA,1788,136,1592,NA,5757,NA,NA,2063.5
"3568","CPSF6",4407,6273,7505,2415,9052,1322,292,10504,138,1787,4369.5
"3569","CPSF7",6364,6138,8972,13089,10794,10973,635,13086,9058,1505,8061.4
"3570","CPT1A",10790,9927,5615,11793,NA,11472,11101,16081,10061,4417,10139.6666666667
"3571","CPT1B",6029,4370,9870,8342,NA,4816,5897,14421,4010,10792,7616.33333333333
"3572","CPT1C",11187,9793,NA,12843,NA,4989,2878,3348,NA,7284,7474.57142857143
"3573","CPT2",8413,3882,2891,10092,NA,6562,4749,6762,5972,1119,5604.66666666667
"3574","CPTP",12921,NA,6293,NA,NA,5564,13239,14813,8033,4362,9317.85714285714
"3575","CPVL",16655,17059,12856,18050,15581,18041,16112,18402,12212,14078,15904.6
"3576","CPXCR1",NA,NA,NA,NA,NA,948,NA,348,NA,NA,648
"3577","CPXM1",4929,7139,5018,15090,5773,5103,6408,7803,NA,2016,6586.55555555556
"3578","CPXM2",14479,16176,6131,17328,1741,16348,3917,1263,NA,11822,9911.66666666667
"3579","CPZ",397,499,NA,1335,NA,1020,NA,1517,NA,3864,1438.66666666667
"3580","CR1",12783,10541,11999,17203,14278,16663,14871,12974,11333,12666,13531.1
"3581","CR1L",3349,4827,NA,10349,4831,5199,3875,3035,NA,NA,5066.42857142857
"3582","CR2",14241,16383,12480,17866,15249,17276,14544,18047,11475,12568,15012.9
"3583","CRABP1",2536,10372,4032,10140,1018,2058,NA,NA,NA,NA,5026
"3584","CRABP2",12967,10444,10813,5961,4404,11334,2687,18046,292,7285,8423.3
"3585","CRACR2A",6429,NA,11239,NA,NA,13806,12510,10292,7724,8205,10029.2857142857
"3586","CRACR2B",14561,NA,8262,NA,NA,15204,14983,15815,11196,12956,13282.4285714286
"3587","CRADD",11811,13387,5831,11232,4649,7345,7610,8701,9471,9879,8991.6
"3588","CRAT",6089,16579,9638,15108,NA,9570,11779,12706,6956,4795,10357.7777777778
"3589","CRB1",1377,1393,NA,3588,6539,14058,NA,2659,NA,194,4258.28571428571
"3590","CRB2",4474,4089,NA,3212,3444,10589,3661,4919,NA,NA,4912.57142857143
"3591","CRB3",14651,4607,8243,10568,5103,2498,7990,4941,4831,6291,6972.3
"3592","CRBN",11877,10785,10237,14565,10736,9201,10614,5834,6818,7927,9859.4
"3593","CRCP",6662,10427,7946,11364,5431,7653,9755,12621,5936,7918,8571.3
"3594","CRCT1",7278,862,NA,13671,NA,2417,665,NA,NA,NA,4978.6
"3595","CREB1",7149,9937,2052,3965,8225,5754,5526,8143,3390,8378,6251.9
"3596","CREB3",11525,13295,5469,11130,10880,2678,12578,14343,10385,9184,10146.7
"3597","CREB3L1",4361,3842,592,5375,3236,12862,2714,1447,NA,4759,4354.22222222222
"3598","CREB3L2",14836,16516,11638,7807,14263,13129,15242,14898,10787,12308,13142.4
"3599","CREB3L3",1855,NA,NA,2369,11870,1929,3305,13852,1074,NA,5179.14285714286
"3600","CREB3L4",16307,4436,9061,15680,9012,8082,7763,6661,7979,10685,9566.6
"3601","CREB5",14313,8089,13200,12781,14569,17375,14498,12456,11743,13753,13277.7
"3602","CREBBP",8695,5385,11458,4728,8474,6135,8703,7524,5231,11986,7831.9
"3603","CREBL2",14622,6524,8232,10213,13759,14818,13021,13819,8658,5039,10870.5
"3604","CREBRF",10985,6004,5306,12957,12965,9202,8471,17616,6972,7030,9750.8
"3605","CREBZF",6880,12145,2344,9091,5853,12313,8483,13660,8583,6159,8551.1
"3606","CREG1",15963,15732,12946,17554,15393,17545,15668,17354,11637,12786,15257.8
"3607","CREG2",10210,1050,NA,5049,7175,10080,2567,5999,NA,1018,5393.5
"3608","CRELD1",9735,8121,9223,13893,12022,13978,8617,9776,6907,3998,9627
"3609","CRELD2",15516,13970,11205,5677,14528,1788,15353,17571,11770,13464,12084.2
"3610","CREM",5091,6154,3516,7096,3747,2260,5152,4814,695,7407,4593.2
"3611","CRH",503,NA,NA,4120,137,999,NA,1989,NA,NA,1549.6
"3612","CRHBP",4899,4821,3484,13475,7768,5931,15357,4833,873,NA,6826.77777777778
"3613","CRHR1",4300,4668,NA,279,1161,2499,NA,1166,NA,420,2070.42857142857
"3614","CRHR2",2775,779,NA,554,NA,12111,NA,3111,NA,NA,3866
"3615","CRIM1",15935,15584,11333,17192,10641,17060,8516,12057,8300,12656,12927.4
"3616","CRIP2",16569,17086,11617,18039,11871,18092,15100,14122,11155,14071,14772.2
"3617","CRIP3",10652,11500,6780,16628,9338,7384,14109,12011,889,NA,9921.22222222222
"3618","CRIPAK",7828,9015,4209,4192,6586,NA,11330,NA,1896,7669,6590.625
"3619","CRIPT",4142,5303,5098,2690,861,5799,7099,14468,609,2236,4830.5
"3620","CRISP1",NA,1078,NA,1350,3025,1237,10131,3110,NA,NA,3321.83333333333
"3621","CRISP2",1404,NA,NA,1054,577,679,NA,750,NA,NA,892.8
"3622","CRISP3",3920,1120,1401,4112,411,14269,NA,901,NA,NA,3733.42857142857
"3623","CRISPLD1",9232,12189,13014,14480,1451,12887,8097,12515,NA,3862,9747.44444444445
"3624","CRISPLD2",10552,13759,12604,8214,12969,15999,13934,12233,11713,10962,12293.9
"3625","CRK",13803,13200,8875,11354,9192,8753,5504,11932,4706,11089,9840.8
"3626","CRKL",1977,8741,5557,876,2650,2866,1565,12863,5851,6142,4908.8
"3627","CRLF1",8408,995,783,8141,3820,4239,2260,6969,NA,NA,4451.875
"3628","CRLF3",8527,11832,2545,14457,7940,4411,3301,11043,1299,2621,6797.6
"3629","CRLS1",6641,13280,3620,16140,NA,6798,13223,6672,8475,10830,9519.88888888889
"3630","CRMP1",7080,3822,2428,12591,3625,15470,1276,9672,NA,5990,6883.77777777778
"3631","CRNKL1",5173,8596,11502,9624,3569,8805,5167,6930,7487,1895,6874.8
"3632","CRNN",NA,4151,NA,14819,NA,836,NA,1302,NA,NA,5277
"3633","CROCC",12183,3649,5832,7642,4478,6053,1580,6660,1900,2318,5229.5
"3634","CROT",8216,13349,11618,16578,NA,3516,9838,3674,5378,10768,9215
"3635","CRP",953,2284,NA,4558,500,1465,13719,7398,NA,NA,4411
"3636","CRTAC1",5786,14273,2429,13696,2433,327,785,1490,NA,818,4670.77777777778
"3637","CRTAM",15912,16599,12068,17500,14015,17572,15844,18079,12080,13757,15342.6
"3638","CRTAP",14196,15619,8555,16559,14255,16445,15226,11357,11660,10046,13391.8
"3639","CRTC1",10982,6896,10137,10061,11545,6927,4790,14809,6548,3610,8630.5
"3640","CRTC2",11115,8447,1130,7484,8265,5800,3730,9513,2521,9284,6728.9
"3641","CRTC3",11959,8731,7913,9777,11700,6255,9757,10019,8734,12516,9736.1
"3642","CRX",2814,4487,NA,12409,2434,12251,5001,6514,NA,346,5782
"3643","CRY1",9241,8245,7313,12358,NA,4064,5312,7733,3786,12595,7849.66666666667
"3644","CRY2",8085,8411,10727,9924,8845,5213,8175,13336,6076,11637,9042.9
"3645","CRYAB",10856,12053,7395,17314,1436,15526,9238,11861,1705,5569,9295.3
"3646","CRYBA1",NA,2453,NA,5716,138,1466,NA,12992,NA,NA,4553
"3647","CRYBA2",966,NA,NA,4057,NA,3891,NA,NA,NA,100,2253.5
"3648","CRYBA4",4935,4432,NA,7337,2990,3347,5480,4336,2488,NA,4418.125
"3649","CRYBB1",7515,6322,7125,11800,12931,11092,11030,15579,1462,NA,9428.44444444445
"3650","CRYBB2",3063,4562,NA,4826,1975,1467,869,1090,467,NA,2289.875
"3651","CRYBB3",2550,1961,NA,2445,42,680,1677,4335,NA,NA,1955.71428571429
"3652","CRYBG3",14698,12859,8658,16423,14957,15808,14626,11894,10782,10432,13113.7
"3653","CRYGA",NA,NA,NA,4007,1019,605,NA,NA,NA,NA,1877
"3654","CRYGB",NA,NA,NA,2864,1162,1829,NA,NA,NA,NA,1951.66666666667
"3655","CRYGC",NA,101,NA,2435,1866,681,NA,NA,NA,NA,1270.75
"3656","CRYGD",NA,4591,NA,2948,2435,3473,2444,17808,NA,NA,5616.5
"3657","CRYGN",1564,617,NA,1043,NA,6411,742,2606,NA,NA,2163.83333333333
"3658","CRYGS",4897,5456,2053,8837,5478,2996,2577,15440,230,5992,5395.6
