"","min_2","max_other","target_score","gene","rank"
"PSMA7",5.73,5.62,0.11,"PSMA7",112
"PLCXD2",1.07,0.96,0.11,"PLCXD2",113
"ANKS1B",1.59,1.48,0.11,"ANKS1B",114
"PABPC1L",0.85,0.74,0.11,"PABPC1L",115
"MAPKAPK3",3.02,2.91,0.11,"MAPKAPK3",116
"TEX264",3.28,3.17,0.11,"TEX264",117
"STIP1",3.35,3.24,0.11,"STIP1",118
"NUP37",2.05,1.94,0.11,"NUP37",119
"TDG",3.44,3.33,0.11,"TDG",120
"ALDH3A2",2.5,2.39,0.11,"ALDH3A2",121
"ARF6",5.35,5.24,0.109999999999999,"ARF6",122
"CASP4",4.82,4.72,0.100000000000001,"CASP4",123
"MAD1L1",2.81,2.71,0.1,"MAD1L1",124
"CHMP5",3.79,3.69,0.1,"CHMP5",125
"AIP",3.88,3.78,0.1,"AIP",126
"ACLY",2.02,1.92,0.1,"ACLY",127
"MAP2K7",2.7,2.6,0.1,"MAP2K7",128
"PSMC4",3.48,3.38,0.1,"PSMC4",129
"CSTF2",1.14,1.04,0.0999999999999999,"CSTF2",130
"SSH1",1.72,1.63,0.0900000000000001,"SSH1",131
"LZTR1",0.89,0.8,0.09,"LZTR1",132
"FAF1",2.52,2.43,0.0899999999999999,"FAF1",133
"PPM1G",4.38,4.29,0.0899999999999999,"PPM1G",134
"SCAP",1.65,1.56,0.0899999999999999,"SCAP",135
"SRP14",6.64,6.55,0.0899999999999999,"SRP14",136
"RAB11B",3.55,3.46,0.0899999999999999,"RAB11B",137
"EWSR1",4.3,4.21,0.0899999999999999,"EWSR1",138
"ICOS",4.49,4.41,0.0800000000000001,"ICOS",139
"WDR1",4.47,4.39,0.0800000000000001,"WDR1",140
"UBE2D3",5.5,5.42,0.0800000000000001,"UBE2D3",141
"BAK1",2.66,2.58,0.0800000000000001,"BAK1",142
"DCAF13",2.75,2.67,0.0800000000000001,"DCAF13",143
"EMC9",1.75,1.67,0.0800000000000001,"EMC9",144
"MTHFD1",2.08,2,0.0800000000000001,"MTHFD1",145
"FOXN3",3.48,3.4,0.0800000000000001,"FOXN3",146
"LASP1",3.73,3.65,0.0800000000000001,"LASP1",147
"SNRPB2",4.64,4.56,0.0800000000000001,"SNRPB2",148
"DCAF11",3.03,2.95,0.0799999999999996,"DCAF11",149
"DNAJC8",4.56,4.48,0.0799999999999992,"DNAJC8",150
"ATG4B",2.39,2.32,0.0700000000000003,"ATG4B",151
"MRFAP1",4.16,4.09,0.0700000000000003,"MRFAP1",152
"SLA",5.88,5.81,0.0700000000000003,"SLA",153
"TRPC4AP",2.33,2.26,0.0700000000000003,"TRPC4AP",154
"PANK4",1.56,1.49,0.0700000000000001,"PANK4",155
"THUMPD2",1.97,1.9,0.0700000000000001,"THUMPD2",156
"MAN2B2",1.83,1.76,0.0700000000000001,"MAN2B2",157
"MAU2",1.77,1.7,0.0700000000000001,"MAU2",158
"IRF2",3.73,3.66,0.0699999999999998,"IRF2",159
"JARID2",3.19,3.12,0.0699999999999998,"JARID2",160
"ABI1",3.44,3.37,0.0699999999999998,"ABI1",161
"RNF6",2.36,2.29,0.0699999999999998,"RNF6",162
"WDR20",2.19,2.12,0.0699999999999998,"WDR20",163
"USP18",1.38,1.31,0.0699999999999998,"USP18",164
"GRAMD4",1.39,1.32,0.0699999999999998,"GRAMD4",165
"PPP1R12A",4.76,4.69,0.0699999999999994,"PPP1R12A",166
"PTTG1",4.11,4.05,0.0600000000000005,"PTTG1",167
"C11orf58",5.15,5.09,0.0600000000000005,"C11orf58",168
"DEDD",1.57,1.51,0.0600000000000001,"DEDD",169
"OXCT1",2.34,2.28,0.0600000000000001,"OXCT1",170
"TMEM209",1.37,1.31,0.0600000000000001,"TMEM209",171
"FBXW2",2.62,2.56,0.0600000000000001,"FBXW2",172
"PSMD13",3.64,3.58,0.0600000000000001,"PSMD13",173
"SCAMP2",3.4,3.34,0.0600000000000001,"SCAMP2",174
"NUDT16L1",2.87,2.81,0.0600000000000001,"NUDT16L1",175
"SLC35C2",2.31,2.25,0.0600000000000001,"SLC35C2",176
"NTNG2",0.36,0.3,0.06,"NTNG2",177
"MTRNR2L4",0.08,0.02,0.06,"MTRNR2L4",178
"EDARADD",1.4,1.34,0.0599999999999998,"EDARADD",179
"COQ10B",3.55,3.49,0.0599999999999996,"COQ10B",180
"HLA.E",7.81,7.75,0.0599999999999996,"HLA.E",181
"RTF1",4.46,4.4,0.0599999999999996,"RTF1",182
"CBX6",3.53,3.47,0.0599999999999996,"CBX6",183
"PUM1",3.06,3.01,0.0500000000000003,"PUM1",184
"SH2D2A",3.91,3.86,0.0500000000000003,"SH2D2A",185
"TADA3",3.12,3.07,0.0500000000000003,"TADA3",186
"UBA6",2.85,2.8,0.0500000000000003,"UBA6",187
"PTPRJ",2.1,2.05,0.0500000000000003,"PTPRJ",188
"TMC6",3.56,3.51,0.0500000000000003,"TMC6",189
"RNF169",1.95,1.9,0.05,"RNF169",190
"BORA",0.92,0.87,0.05,"BORA",191
"BCKDHA",1.48,1.43,0.05,"BCKDHA",192
"INSRR",0.05,0,0.05,"INSRR",193
"WSCD2",0.07,0.02,0.05,"WSCD2",194
"XRCC5",4.79,4.74,0.0499999999999998,"XRCC5",195
"TRIM59",2.01,1.96,0.0499999999999998,"TRIM59",196
"PDCD10",3.76,3.71,0.0499999999999998,"PDCD10",197
"TNIP3",2.76,2.71,0.0499999999999998,"TNIP3",198
"HMGCR",1.15,1.1,0.0499999999999998,"HMGCR",199
"PPP2CA",3.94,3.89,0.0499999999999998,"PPP2CA",200
"PGK1",5.12,5.07,0.0499999999999998,"PGK1",201
"VPS26B",2.34,2.29,0.0499999999999998,"VPS26B",202
"CD2BP2",3.36,3.31,0.0499999999999998,"CD2BP2",203
"SUMO2",6.01,5.96,0.0499999999999998,"SUMO2",204
"ITPA",3.09,3.04,0.0499999999999998,"ITPA",205
"COMMD7",3.79,3.74,0.0499999999999998,"COMMD7",206
"LARP7",4.02,3.97,0.0499999999999994,"LARP7",207
"TTC4",0.73,0.69,0.04,"TTC4",208
"MPHOSPH10",2.86,2.82,0.04,"MPHOSPH10",209
"CD164",4.65,4.61,0.04,"CD164",210
"NCALD",2.44,2.4,0.04,"NCALD",211
"TMEM126B",3.16,3.12,0.04,"TMEM126B",212
"KIF5B",4.61,4.57,0.04,"KIF5B",213
"STAMBPL1",2.39,2.35,0.04,"STAMBPL1",214
"KIF20B",3.42,3.38,0.04,"KIF20B",215
"EXOSC1",3.16,3.12,0.04,"EXOSC1",216
"PI4K2A",1,0.96,0.04,"PI4K2A",217
"PPHLN1",3.86,3.82,0.04,"PPHLN1",218
"PSPC1",2.66,2.62,0.04,"PSPC1",219
"C14orf166",4.58,4.54,0.04,"C14orf166",220
"DNAJC7",4.08,4.04,0.04,"DNAJC7",221
"PPP2R1A",3.45,3.41,0.04,"PPP2R1A",222
"HDAC10",2.32,2.28,0.04,"HDAC10",223
"NIM1K",0.05,0.01,0.04,"NIM1K",224
"CDKAL1",1.65,1.61,0.0399999999999998,"CDKAL1",225
"IP6K2",3.28,3.24,0.0399999999999996,"IP6K2",226
"HNRNPK",6.04,6.01,0.0300000000000002,"HNRNPK",227
"KAT5",2.14,2.11,0.0300000000000002,"KAT5",228
"EIF2S1",2.91,2.88,0.0300000000000002,"EIF2S1",229
"DRG2",2.24,2.21,0.0300000000000002,"DRG2",230
"ELP2",2.7,2.67,0.0300000000000002,"ELP2",231
"IPP",1.28,1.25,0.03,"IPP",232
"ZBTB2",1.53,1.5,0.03,"ZBTB2",233
"SLC37A3",1.72,1.69,0.03,"SLC37A3",234
"HABP4",1.44,1.41,0.03,"HABP4",235
"PCTP",1.33,1.3,0.03,"PCTP",236
"CANT1",1.66,1.63,0.03,"CANT1",237
"NF2",1.95,1.92,0.03,"NF2",238
"IL17RD",0.04,0.01,0.03,"IL17RD",239
"ADCY2",0.03,0,0.03,"ADCY2",240
"BTNL3",0.06,0.03,0.03,"BTNL3",241
"TMEM256.PLSCR3",0.04,0.01,0.03,"TMEM256.PLSCR3",242
"PRR36",0.04,0.01,0.03,"PRR36",243
"GGTLC2",0.03,0,0.03,"GGTLC2",244
"SNRNP40",2.59,2.56,0.0299999999999998,"SNRNP40",245
"PPID",2.69,2.66,0.0299999999999998,"PPID",246
"PAM",2.21,2.18,0.0299999999999998,"PAM",247
"URM1",2.92,2.89,0.0299999999999998,"URM1",248
"BTBD10",2.05,2.02,0.0299999999999998,"BTBD10",249
"BRMS1",2.9,2.87,0.0299999999999998,"BRMS1",250
"INPP5F",2.19,2.16,0.0299999999999998,"INPP5F",251
"AKAP10",2.13,2.1,0.0299999999999998,"AKAP10",252
"TBC1D10C",4.6,4.57,0.0299999999999994,"TBC1D10C",253
"ILF3",4.08,4.06,0.0200000000000005,"ILF3",254
"RNF187",3.7,3.68,0.02,"RNF187",255
"CWC22",2.87,2.85,0.02,"CWC22",256
"UBE2K",3.63,3.61,0.02,"UBE2K",257
"WDR70",2.47,2.45,0.02,"WDR70",258
"EEF1E1",2.61,2.59,0.02,"EEF1E1",259
"CCZ1",2.83,2.81,0.02,"CCZ1",260
"ZHX1.C8orf76",0.51,0.49,0.02,"ZHX1.C8orf76",261
"PEX16",2.45,2.43,0.02,"PEX16",262
"PSMB10",3.16,3.14,0.02,"PSMB10",263
"INPP5K",2.14,2.12,0.02,"INPP5K",264
"SS18",2.61,2.59,0.02,"SS18",265
"DNM2",2.61,2.59,0.02,"DNM2",266
"JAK3",2.85,2.83,0.02,"JAK3",267
"TRMT2A",2.16,2.14,0.02,"TRMT2A",268
"ABCG1",2.19,2.17,0.02,"ABCG1",269
"GABRG2",0.02,0,0.02,"GABRG2",270
"IFI16",5.77,5.75,0.0199999999999996,"IFI16",271
"TAX1BP1",4.85,4.83,0.0199999999999996,"TAX1BP1",272
"PPP1CA",5.14,5.12,0.0199999999999996,"PPP1CA",273
"ARL6IP1",5,4.98,0.0199999999999996,"ARL6IP1",274
"ROCK1",4.67,4.65,0.0199999999999996,"ROCK1",275
"WRAP73",2.1,2.09,0.0100000000000002,"WRAP73",276
"MOB4",3.31,3.3,0.0100000000000002,"MOB4",277
"UBLCP1",2.39,2.38,0.0100000000000002,"UBLCP1",278
"CCDC28A",3.06,3.05,0.0100000000000002,"CCDC28A",279
"THAP11",2.16,2.15,0.0100000000000002,"THAP11",280
"NBR1",2.81,2.8,0.0100000000000002,"NBR1",281
"ARNT",1.87,1.86,0.01,"ARNT",282
"PAPOLG",1.85,1.84,0.01,"PAPOLG",283
