"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Macrophage M1","Macrophage M2","Macrophage other","Mast","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"26","PHLDA1","PHLDA1","4.78","3.93","0.85","4","1.59","0.30","0.53","0.96","1.11","1.66","2.02","2.68","2.72","3.35","3.68","3.90","2.04","3.93","3.78","3.79","3.37","4.78","3.67","2.53","3.74","3.83","3.80","5.51"
"27","POLG","POLG","2.29","2.01","0.28","27","1.80","0.00","1.19","0.94","1.30","1.04","1.75","1.00","1.00","1.28","1.89","1.72","1.20","1.77","1.67","2.00","1.88","2.29","1.87","2.01","1.61","1.42","1.59","2.29"
"28","PRKAR1B","PRKAR1B","1.73","1.34","0.39","15","0.92","0.62","0.53","0.22","0.61","0.20","0.21","0.31","0.33","0.40","1.34","0.79","1.21","0.45","0.72","0.38","0.94","1.73","1.08","1.16","0.88","0.42","0.45","2.08"
"29","PTPRA","PTPRA","3.73","3.43","0.3","23","2.28","2.89","2.58","2.74","2.03","1.96","2.09","2.18","2.07","1.84","3.38","3.43","2.83","2.89","3.06","3.16","3.35","3.95","3.42","3.38","3.22","3.25","2.76","3.73"
"30","SIRPG","SIRPG","4.44","3.66","0.78","5","0.30","0.00","0.44","0.33","0.53","0.17","0.00","0.63","0.09","0.04","0.00","1.08","1.15","2.57","2.78","2.47","3.34","4.90","3.15","3.66","3.05","3.53","2.96","4.44"
"31","TMX1","TMX1","3.54","3.26","0.28","26","2.41","2.09","2.62","2.71","3.26","2.83","2.38","2.99","3.12","2.63","2.70","2.54","3.13","2.75","3.01","2.78","3.25","3.60","2.44","2.80","2.68","3.22","2.50","3.54"
"32","TNFRSF1B","TNFRSF1B","5.18","4.57","0.609999999999999","6","2.68","0.62","2.73","2.45","1.68","3.79","3.85","3.93","3.81","4.47","2.58","4.02","2.34","3.95","4.08","4.28","4.26","5.18","4.57","4.15","4.17","4.01","3.80","6.31"
"33","TNFRSF9","TNFRSF9","4.97","3.64","1.33","2","0.70","0.00","0.40","0.44","0.29","0.34","2.34","0.61","0.26","0.96","3.64","1.53","1.44","0.78","1.25","1.86","2.89","4.97","2.58","1.70","2.31","1.55","1.84","5.11"
"34","TRIM69","TRIM69","3.13","2.63","0.5","9","2.24","1.98","1.81","2.23","2.23","1.78","2.63","2.03","1.92","1.70","2.12","1.78","2.41","2.29","2.07","1.99","2.34","3.18","2.06","2.59","2.54","2.59","2.34","3.13"
"35","UBASH3B","UBASH3B","2.85","1.85","1","3","0.74","0.00","1.22","0.60","1.22","0.81","0.00","0.73","0.99","0.89","0.87","1.85","0.42","1.17","1.51","1.81","1.49","2.88","1.64","1.46","1.36","1.26","1.27","2.85"
