"","min_2","max_other","target_score","gene","rank"
"CDX2",0,0,0,"CDX2",123
"CELA3A",0,0,0,"CELA3A",124
"CER1",0,0,0,"CER1",125
"CETN1",0,0,0,"CETN1",126
"CHRM1",0,0,0,"CHRM1",127
"CHRNA2",0,0,0,"CHRNA2",128
"CHST6",0,0,0,"CHST6",129
"CLCNKA",0,0,0,"CLCNKA",130
"CLDN4",0,0,0,"CLDN4",131
"CLEC14A",0,0,0,"CLEC14A",132
"CNTNAP5",0,0,0,"CNTNAP5",133
"COL17A1",0,0,0,"COL17A1",134
"COL6A6",0,0,0,"COL6A6",135
"CPSF4L",0,0,0,"CPSF4L",136
"CRH",0,0,0,"CRH",137
"CRYBA1",0,0,0,"CRYBA1",138
"CSAG2",0,0,0,"CSAG2",139
"CSDC2",0,0,0,"CSDC2",140
"CSH2",0,0,0,"CSH2",141
"CST1",0,0,0,"CST1",142
"CST11",0,0,0,"CST11",143
"CTD.2132N18.3",0,0,0,"CTD.2132N18.3",144
"CTD.2207O23.12",0,0,0,"CTD.2207O23.12",145
"CTD.2349B8.1",0,0,0,"CTD.2349B8.1",146
"CXCL17",0,0,0,"CXCL17",147
"CXorf51B",0,0,0,"CXorf51B",148
"CYLC2",0,0,0,"CYLC2",149
"CYP1A1",0,0,0,"CYP1A1",150
"DEFB110",0,0,0,"DEFB110",151
"DHH",0,0,0,"DHH",152
"DPPA3",0,0,0,"DPPA3",153
"DPPA5",0,0,0,"DPPA5",154
"DUPD1",0,0,0,"DUPD1",155
"EPO",0,0,0,"EPO",156
"EPS8L3",0,0,0,"EPS8L3",157
"ESYT1",4.13,4.13,0,"ESYT1",158
"F10",0,0,0,"F10",159
"F7",0,0,0,"F7",160
"FAM155B",0,0,0,"FAM155B",161
"FAM166A",0,0,0,"FAM166A",162
"FAM3D",0,0,0,"FAM3D",163
"FAM86B1",0,0,0,"FAM86B1",164
"FBXO40",0,0,0,"FBXO40",165
"FGF17",0,0,0,"FGF17",166
"FGL1",0,0,0,"FGL1",167
"FMR1NB",0,0,0,"FMR1NB",168
"FOXI2",0,0,0,"FOXI2",169
"FZD9",0,0,0,"FZD9",170
"GABRA2",0,0,0,"GABRA2",171
"GABRA6",0,0,0,"GABRA6",172
"GAGE10",0,0,0,"GAGE10",173
"GAL",0,0,0,"GAL",174
"GALM",4.48,4.48,0,"GALM",175
"GDPD4",0,0,0,"GDPD4",176
"GFAP",0,0,0,"GFAP",177
"GGT2",0,0,0,"GGT2",178
"GHRH",0,0,0,"GHRH",179
"GJB3",0,0,0,"GJB3",180
"GLYATL1",0,0,0,"GLYATL1",181
"GOLGA6L1",0,0,0,"GOLGA6L1",182
"GOLGA6L9",0,0,0,"GOLGA6L9",183
"GOLGA8S",0,0,0,"GOLGA8S",184
"GPR149",0,0,0,"GPR149",185
"GPR152",0,0,0,"GPR152",186
"GPR25",0,0,0,"GPR25",187
"GPR42",0,0,0,"GPR42",188
"GPR52",0,0,0,"GPR52",189
